bin,bin_low,bin_high,count,weighted_count,mean_prediction,observed_frequency,gap
0,0.0,0.06666666666666667,574432,415992873.424688,5.043017613851017e-05,5.1762905990980565e-05,1.3327298524703915e-06
1,0.06666666666666667,0.13333333333333333,7775,81743.59633600002,0.09412003853406115,0.09401348049835573,-0.00010655803570541744
2,0.13333333333333333,0.2,5001,35751.98948800001,0.16553941859842772,0.13881744963216128,-0.02672196896626644
3,0.2,0.26666666666666666,3607,13580.293888,0.2265033557573154,0.2647218115932426,0.0382184558359272
4,0.26666666666666666,0.3333333333333333,2757,9405.862592000001,0.2984324520067453,0.29226452896921074,-0.006167923037534551
5,0.3333333333333333,0.4,2386,8203.754768,0.3692632238412378,0.289989165604956,-0.07927405823628175
6,0.4,0.4666666666666667,1955,6941.646944000001,0.43159917101397094,0.2807691050442452,-0.15083006596972576
7,0.4666666666666667,0.5333333333333333,1740,1740.0,0.49977491094095716,1.0,0.5002250890590428
8,0.5333333333333333,0.6,1463,3125.2156480000003,0.5711702865604376,0.46748773990523673,-0.10368254665520082
9,0.6,0.6666666666666666,1218,2880.2156480000003,0.6242422833813338,0.4221906095275821,-0.20205167385375172
10,0.6666666666666666,0.7333333333333333,1170,1170.0,0.6992071162991209,1.0,0.3007928837008791
11,0.7333333333333333,0.8,979,979.0,0.766339715233468,1.0,0.233660284766532
12,0.8,0.8666666666666667,752,752.0,0.8327122193834907,1.0,0.16728778061650929
13,0.8666666666666667,0.9333333333333333,583,583.0,0.8989389661318823,1.0,0.10106103386811771
14,0.9333333333333333,1.0,270,270.0,0.9547686670670806,1.0,0.045231332932919366
