bin,bin_low,bin_high,count,weighted_count,mean_prediction,observed_frequency,gap
0,0.0,0.06666666666666667,568919,416006475.90463996,4.008496102422785e-05,3.854747685148029e-05,-1.5374841727475649e-06
1,0.06666666666666667,0.13333333333333333,7543,71538.302448,0.09289503257264745,0.10436367294886416,0.011468640376216713
2,0.13333333333333333,0.2,5249,30182.23472,0.15994260334430996,0.17288315621448458,0.01294055287017462
3,0.2,0.26666666666666666,3990,13132.186064000001,0.2319741560980918,0.3029960115252902,0.07102185542719841
4,0.26666666666666666,0.3333333333333333,3298,7453.53912,0.30094468521719125,0.4418035441933791,0.14085885897618783
5,0.3333333333333333,0.4,2666,9314.862592000001,0.36648754697753927,0.2853504250597108,-0.08113712191782846
6,0.4,0.4666666666666667,2288,4781.323472,0.43241560994060474,0.4779011529718147,0.04548554303120994
7,0.4666666666666667,0.5333333333333333,1983,2814.107824,0.500509357500574,0.7043084785510336,0.2037991210504596
8,0.5333333333333333,0.6,1889,3551.2156480000003,0.5643947703951596,0.5313673364394906,-0.03302743395566898
9,0.6,0.6666666666666666,1683,3345.2156480000003,0.6270458161413541,0.5025087100154566,-0.12453710612589752
10,0.6666666666666666,0.7333333333333333,1555,2386.107824,0.7027625353787552,0.6512698145362604,-0.05149272084249479
11,0.7333333333333333,0.8,1407,1407.0,0.7659962913208976,1.0,0.23400370867910236
12,0.8,0.8666666666666667,1334,1334.0,0.83271415428036,1.0,0.16728584571964
13,0.8666666666666667,0.9333333333333333,1291,1291.0,0.8993789111990628,1.0,0.10062108880093723
14,0.9333333333333333,1.0,993,993.0,0.9616298525461673,1.0,0.038370147453832715
