model_role,model,seed,epoch,method,metric,direction,uncalibrated_value,method_value,method_minus_uncalibrated,improvement,relative_change_percent,relative_improvement_percent
primary,seed11_epoch11,11,11,global_T_1.1,weighted_multiclass_ece,lower_is_better,0.0014298000797494,0.0023711402116582,0.0009413401319088,-0.0009413401319088,65.8371855786851,-65.8371855786851
primary,seed11_epoch11,11,11,global_T_1.1,weighted_multiclass_nll,lower_is_better,0.0016255537439647,0.002573949489219,0.0009483957452542998,-0.0009483957452542998,58.3429338325768,-58.3429338325768
primary,seed11_epoch11,11,11,global_T_1.1,weighted_multiclass_brier,lower_is_better,0.0002101182718988,0.000249297427389,3.9179155490200006e-05,-3.9179155490200006e-05,18.6462391567117,-18.6462391567117
primary,seed11_epoch11,11,11,global_T_1.1,target_weighted_acceptor_auprc,higher_is_better,0.8926196883412945,0.892617413089228,-2.27525206641932e-06,-2.27525206641932e-06,-0.0002548960207955187,-0.0002548960207955187
primary,seed11_epoch11,11,11,global_T_1.1,target_weighted_donor_auprc,higher_is_better,0.915186236488755,0.915174422822773,-1.181366598201894e-05,-1.181366598201894e-05,-0.0012908483007069453,-0.0012908483007069453
primary,seed11_epoch11,11,11,true_logit_unweighted_vector_T,weighted_multiclass_ece,lower_is_better,0.0014298000797494,0.0001251607910031,-0.0013046392887462999,0.0013046392887462999,-91.24627332339799,91.24627332339799
primary,seed11_epoch11,11,11,true_logit_unweighted_vector_T,weighted_multiclass_nll,lower_is_better,0.0016255537439647,0.0023155379846312,0.0006899842406664998,-0.0006899842406664998,42.44610448767071,-42.44610448767071
primary,seed11_epoch11,11,11,true_logit_unweighted_vector_T,weighted_multiclass_brier,lower_is_better,0.0002101182718988,0.001260667248242,0.0010505489763432,-0.0010505489763432,499.9798289075876,-499.9798289075876
primary,seed11_epoch11,11,11,true_logit_unweighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,0.8926196883412945,0.8923097595898418,-0.0003099287514526372,-0.0003099287514526372,-0.03472125424754641,-0.03472125424754641
primary,seed11_epoch11,11,11,true_logit_unweighted_vector_T,target_weighted_donor_auprc,higher_is_better,0.915186236488755,0.901448897105808,-0.013737339382946967,-0.013737339382946967,-1.5010430484239214,-1.5010430484239214
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,weighted_multiclass_ece,lower_is_better,0.0014298000797494,1.6150185014728384e-05,-0.0014136498947346717,0.0014136498947346717,-98.87045851769999,98.87045851769999
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,weighted_multiclass_nll,lower_is_better,0.0016255537439647,0.0002532279777909,-0.0013723257661738,0.0013723257661738,-84.42204825702773,84.42204825702773
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,weighted_multiclass_brier,lower_is_better,0.0002101182718988,0.0001338177625546,-7.63005093442e-05,7.63005093442e-05,-36.31312434405937,36.31312434405937
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,0.8926196883412945,0.8929532982114827,0.00033360987018826727,0.00033360987018826727,0.03737424510635609,0.03737424510635609
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,target_weighted_donor_auprc,higher_is_better,0.915186236488755,0.914787797584392,-0.00039843890436297436,-0.00039843890436297436,-0.04353637418014973,-0.04353637418014973
primary,seed11_epoch11,11,11,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,lower_is_better,0.0014298000797494,1.240788756644602e-05,-0.001417392192182954,0.001417392192182954,-99.13219423175437,99.13219423175437
primary,seed11_epoch11,11,11,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,lower_is_better,0.0016255537439647,0.000253235853778,-0.0013723178901867,0.0013723178901867,-84.42156374600314,84.42156374600314
primary,seed11_epoch11,11,11,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,lower_is_better,0.0002101182718988,0.0001334387728489,-7.66794990499e-05,7.66794990499e-05,-36.493494048357405,36.493494048357405
primary,seed11_epoch11,11,11,openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,higher_is_better,0.8926196883412945,0.8930084747327205,0.00038878639142603255,0.00038878639142603255,0.043555659426299756,0.043555659426299756
primary,seed11_epoch11,11,11,openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,higher_is_better,0.915186236488755,0.9150546312091542,-0.00013160527960076607,-0.00013160527960076607,-0.01438016376925519,-0.01438016376925519
replication,seed23_epoch14,23,14,global_T_1.1,weighted_multiclass_ece,lower_is_better,0.0014802952371723,0.002465408860966,0.0009851136237937,-0.0009851136237937,66.54845594690224,-66.54845594690224
replication,seed23_epoch14,23,14,global_T_1.1,weighted_multiclass_nll,lower_is_better,0.0016705572706194,0.0026631443497013,0.0009925870790819002,-0.0009925870790819002,59.4165250445963,-59.4165250445963
replication,seed23_epoch14,23,14,global_T_1.1,weighted_multiclass_brier,lower_is_better,0.0002094794927159,0.0002490645734203,3.9585080704400026e-05,-3.9585080704400026e-05,18.896876343922624,-18.896876343922624
replication,seed23_epoch14,23,14,global_T_1.1,target_weighted_acceptor_auprc,higher_is_better,0.8936845373984325,0.8936856357542032,1.0983557707788805e-06,1.0983557707788805e-06,0.00012290195531146347,0.00012290195531146347
replication,seed23_epoch14,23,14,global_T_1.1,target_weighted_donor_auprc,higher_is_better,0.9228817277165514,0.9228814137670032,-3.13949548247372e-07,-3.13949548247372e-07,-3.4018394645667604e-05,-3.4018394645667604e-05
replication,seed23_epoch14,23,14,true_logit_unweighted_vector_T,weighted_multiclass_ece,lower_is_better,0.0014802952371723,0.0001015871805288,-0.0013787080566435,0.0013787080566435,-93.13737030439586,93.13737030439586
replication,seed23_epoch14,23,14,true_logit_unweighted_vector_T,weighted_multiclass_nll,lower_is_better,0.0016705572706194,0.0021446752238984,0.0004741179532789998,-0.0004741179532789998,28.38082606429943,-28.38082606429943
replication,seed23_epoch14,23,14,true_logit_unweighted_vector_T,weighted_multiclass_brier,lower_is_better,0.0002094794927159,0.0011471377804032,0.0009376582876873,-0.0009376582876873,447.6134038375631,-447.6134038375631
replication,seed23_epoch14,23,14,true_logit_unweighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,0.8936845373984325,0.8823162503710182,-0.011368287027414214,-0.011368287027414214,-1.2720693434517685,-1.2720693434517685
replication,seed23_epoch14,23,14,true_logit_unweighted_vector_T,target_weighted_donor_auprc,higher_is_better,0.9228817277165514,0.9175317895210828,-0.005349938195468584,-0.005349938195468584,-0.5796992219908523,-0.5796992219908523
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,weighted_multiclass_ece,lower_is_better,0.0014802952371723,2.006352154209552e-05,-0.0014602317156302044,0.0014602317156302044,-98.64462702856348,98.64462702856348
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,weighted_multiclass_nll,lower_is_better,0.0016705572706194,0.0002431723399605,-0.0014273849306589,0.0014273849306589,-85.44363942276952,85.44363942276952
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,weighted_multiclass_brier,lower_is_better,0.0002094794927159,0.0001293052547474,-8.017423796849999e-05,8.017423796849999e-05,-38.27307242777878,38.27307242777878
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,0.8936845373984325,0.8931454132240935,-0.0005391241743389896,-0.0005391241743389896,-0.06032600451031763,-0.06032600451031763
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,target_weighted_donor_auprc,higher_is_better,0.9228817277165514,0.923177788421342,0.00029606070479060165,0.00029606070479060165,0.03208002671405496,0.03208002671405496
replication,seed23_epoch14,23,14,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,lower_is_better,0.0014802952371723,1.60181413609639e-05,-0.001464277095811336,0.001464277095811336,-98.91790901174807,98.91790901174807
replication,seed23_epoch14,23,14,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,lower_is_better,0.0016705572706194,0.0002440882386596,-0.0014264690319598,0.0014264690319598,-85.38881348443095,85.38881348443095
replication,seed23_epoch14,23,14,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,lower_is_better,0.0002094794927159,0.0001303519337049,-7.9127559011e-05,7.9127559011e-05,-37.77341542368267,37.77341542368267
replication,seed23_epoch14,23,14,openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,higher_is_better,0.8936845373984325,0.8937471432648564,6.260586642392596e-05,6.260586642392596e-05,0.007005365294354904,0.007005365294354904
replication,seed23_epoch14,23,14,openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,higher_is_better,0.9228817277165514,0.9229694936388184,8.776592226700242e-05,8.776592226700242e-05,0.00950998590947922,0.00950998590947922
