method,metric,direction,n_models,descriptive_mean,minimum,maximum,range
uncalibrated,weighted_multiclass_ece,lower_is_better,2,0.00145504765846085,0.0014298000797494,0.0014802952371723,5.049515742290003e-05
uncalibrated,weighted_multiclass_nll,lower_is_better,2,0.00164805550729205,0.0016255537439647,0.0016705572706194,4.500352665469994e-05
uncalibrated,weighted_multiclass_brier,lower_is_better,2,0.00020979888230734998,0.0002094794927159,0.0002101182718988,6.387791828999943e-07
uncalibrated,target_weighted_acceptor_auprc,higher_is_better,2,0.8931521128698634,0.8926196883412945,0.8936845373984325,0.0010648490571379954
uncalibrated,target_weighted_donor_auprc,higher_is_better,2,0.9190339821026532,0.915186236488755,0.9228817277165514,0.007695491227796447
global_T_1.1,weighted_multiclass_ece,lower_is_better,2,0.0024182745363121,0.0023711402116582,0.002465408860966,9.426864930780002e-05
global_T_1.1,weighted_multiclass_nll,lower_is_better,2,0.0026185469194601498,0.002573949489219,0.0026631443497013,8.919486048230034e-05
global_T_1.1,weighted_multiclass_brier,lower_is_better,2,0.00024918100040465,0.0002490645734203,0.000249297427389,2.3285396869997428e-07
global_T_1.1,target_weighted_acceptor_auprc,higher_is_better,2,0.8931515244217156,0.892617413089228,0.8936856357542032,0.0010682226649751936
global_T_1.1,target_weighted_donor_auprc,higher_is_better,2,0.9190279182948881,0.915174422822773,0.9228814137670032,0.007706990944230219
true_logit_unweighted_vector_T,weighted_multiclass_ece,lower_is_better,2,0.00011337398576594999,0.0001015871805288,0.0001251607910031,2.357361047429999e-05
true_logit_unweighted_vector_T,weighted_multiclass_nll,lower_is_better,2,0.0022301066042647996,0.0021446752238984,0.0023155379846312,0.00017086276073280003
true_logit_unweighted_vector_T,weighted_multiclass_brier,lower_is_better,2,0.0012039025143225999,0.0011471377804032,0.001260667248242,0.00011352946783879984
true_logit_unweighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,2,0.8873130049804301,0.8823162503710182,0.8923097595898418,0.009993509218823582
true_logit_unweighted_vector_T,target_weighted_donor_auprc,higher_is_better,2,0.9094903433134454,0.901448897105808,0.9175317895210828,0.01608289241527483
true_logit_target_weighted_vector_T,weighted_multiclass_ece,lower_is_better,2,1.810685327841195e-05,1.6150185014728384e-05,2.006352154209552e-05,3.913336527367135e-06
true_logit_target_weighted_vector_T,weighted_multiclass_nll,lower_is_better,2,0.0002482001588757,0.0002431723399605,0.0002532279777909,1.0055637830400012e-05
true_logit_target_weighted_vector_T,weighted_multiclass_brier,lower_is_better,2,0.000131561508651,0.0001293052547474,0.0001338177625546,4.51250780719999e-06
true_logit_target_weighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,2,0.8930493557177881,0.8929532982114827,0.8931454132240935,0.0001921150126107385
true_logit_target_weighted_vector_T,target_weighted_donor_auprc,higher_is_better,2,0.918982793002867,0.914787797584392,0.923177788421342,0.008389990836950023
openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,lower_is_better,2,1.421301446370496e-05,1.240788756644602e-05,1.60181413609639e-05,3.61025379451788e-06
openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,lower_is_better,2,0.0002486620462188,0.0002440882386596,0.000253235853778,9.147615118399995e-06
openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,lower_is_better,2,0.0001318953532769,0.0001303519337049,0.0001334387728489,3.086839143999991e-06
openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,higher_is_better,2,0.8933778089987885,0.8930084747327205,0.8937471432648564,0.0007386685321358888
openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,higher_is_better,2,0.9190120624239864,0.9150546312091542,0.9229694936388184,0.007914862429664216
