model_role,model,seed,epoch,reference_method,comparison_method,metric,direction,mean_method_minus_reference,mean_improvement,improvement_ci_lower_2.5,improvement_ci_upper_97.5,probability_comparison_better,improvement_ci_excludes_zero,n_bootstrap
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,lower_is_better,-2.575833337953793e-06,2.575833337953793e-06,-8.35507767857302e-06,1.3944019082915946e-05,0.715,False,200
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,lower_is_better,-4.7116980597946774e-08,4.7116980597946774e-08,-3.782052387947312e-06,3.898908396882256e-06,0.485,False,200
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,lower_is_better,-4.038145407834077e-07,4.038145407834077e-07,-2.1176530473745005e-06,3.2625893323590883e-06,0.595,False,200
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,higher_is_better,5.65665868335452e-05,5.65665868335452e-05,-1.8306752882860097e-05,0.0001274394576563,0.935,False,200
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,higher_is_better,0.0002696105848199,0.0002696105848199,-0.0004698800351751,0.0011482332504573,0.685,False,200
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_ece,lower_is_better,-2.05599696274326e-06,2.05599696274326e-06,-7.272239410509746e-06,1.1978619287021256e-05,0.66,False,200
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_nll,lower_is_better,7.958696093614215e-07,-7.958696093614215e-07,-5.815132723657806e-06,5.013816678288274e-06,0.37,False,200
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,weighted_multiclass_brier,lower_is_better,9.506457735571184e-07,-9.506457735571184e-07,-4.572844065272684e-06,2.6754821603362133e-06,0.275,False,200
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,target_weighted_acceptor_auprc,higher_is_better,0.0006071787112032,0.0006071787112032,-0.000132408459149,0.0015799546402862,0.94,False,200
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,openspliceai_style_full_validation_vector_T_v2,target_weighted_donor_auprc,higher_is_better,-0.0002223811656463,-0.0002223811656463,-0.0008666449960764,0.000362210157874,0.255,False,200
