reference_method,comparison_method,metric,direction,mean_method_minus_reference,mean_improvement,improvement_ci_lower_2.5,improvement_ci_upper_97.5,probability_comparison_better,improvement_ci_excludes_zero,n_bootstrap
uncalibrated,global_T_1.1,weighted_multiclass_ece,lower_is_better,0.0009410852899804465,-0.0009410852899804465,-0.0009451207754411049,-0.0009373174681158921,0.0,True,200
uncalibrated,global_T_1.1,weighted_multiclass_nll,lower_is_better,0.0009482703231898684,-0.0009482703231898684,-0.0009527633750080321,-0.0009441675054930133,0.0,True,200
uncalibrated,global_T_1.1,weighted_multiclass_brier,lower_is_better,3.9185743267099864e-05,-3.9185743267099864e-05,-4.054152027387093e-05,-3.786703301126101e-05,0.0,True,200
uncalibrated,global_T_1.1,acceptor_ece,lower_is_better,0.00044533530077343246,-0.00044533530077343246,-0.00044877666255884716,-0.0004424356190239367,0.0,True,200
uncalibrated,global_T_1.1,acceptor_nll,lower_is_better,0.00044905395450471104,-0.00044905395450471104,-0.00045268347554053566,-0.00044594753607672395,0.0,True,200
uncalibrated,global_T_1.1,acceptor_brier,lower_is_better,9.678331585471431e-06,-9.678331585471431e-06,-1.0212889798134272e-05,-9.189558987169852e-06,0.0,True,200
uncalibrated,global_T_1.1,sampled_acceptor_auprc,higher_is_better,1.867516427112026e-07,1.867516427112026e-07,7.898873065070866e-08,3.0191597746587205e-07,1.0,True,200
uncalibrated,global_T_1.1,target_weighted_acceptor_auprc,higher_is_better,-1.7861176097022646e-06,-1.7861176097022646e-06,-1.4274736708128066e-05,1.420446901893857e-05,0.355,False,200
uncalibrated,global_T_1.1,donor_ece,lower_is_better,0.0004951116688983609,-0.0004951116688983609,-0.0004981423377048933,-0.000492291199235289,0.0,True,200
uncalibrated,global_T_1.1,donor_nll,lower_is_better,0.0004985166975057278,-0.0004985166975057278,-0.0005016698277036785,-0.0004958519031948958,0.0,True,200
uncalibrated,global_T_1.1,donor_brier,lower_is_better,9.231791436578063e-06,-9.231791436578063e-06,-9.725456497029062e-06,-8.821660953041578e-06,0.0,True,200
uncalibrated,global_T_1.1,sampled_donor_auprc,higher_is_better,9.871309105680126e-09,9.871309105680126e-09,-8.336748485993084e-08,8.539464943779776e-08,0.62,False,200
uncalibrated,global_T_1.1,target_weighted_donor_auprc,higher_is_better,-1.2299457147195714e-05,-1.2299457147195714e-05,-2.868279586794864e-05,9.08791895440355e-07,0.06,False,200
uncalibrated,true_logit_unweighted_vector_T,weighted_multiclass_ece,lower_is_better,-0.0012852946707931066,0.0012852946707931066,0.0012348722391849094,0.0013299821121937852,1.0,True,200
uncalibrated,true_logit_unweighted_vector_T,weighted_multiclass_nll,lower_is_better,0.000690801122424754,-0.000690801122424754,-0.0008517729821248563,-0.0005374347451892489,0.0,True,200
uncalibrated,true_logit_unweighted_vector_T,weighted_multiclass_brier,lower_is_better,0.0010492431883851344,-0.0010492431883851344,-0.0011418751983968002,-0.0009639708274282585,0.0,True,200
uncalibrated,true_logit_unweighted_vector_T,acceptor_ece,lower_is_better,-8.611521470319538e-05,8.611521470319538e-05,4.4613320050591716e-05,0.00012602166312919005,1.0,True,200
uncalibrated,true_logit_unweighted_vector_T,acceptor_nll,lower_is_better,0.0004712553497562834,-0.0004712553497562834,-0.0006142047512609105,-0.0003409887087011707,0.0,True,200
uncalibrated,true_logit_unweighted_vector_T,acceptor_brier,lower_is_better,0.0002854354895610965,-0.0002854354895610965,-0.0003201475409315641,-0.00024899601932760237,0.0,True,200
uncalibrated,true_logit_unweighted_vector_T,sampled_acceptor_auprc,higher_is_better,-1.783423499908121e-05,-1.783423499908121e-05,-3.91974688970731e-05,3.085393582427672e-06,0.045,False,200
uncalibrated,true_logit_unweighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,-0.00017060826512911575,-0.00017060826512911575,-0.007389382745486342,0.008183950543450285,0.495,False,200
uncalibrated,true_logit_unweighted_vector_T,donor_ece,lower_is_better,-0.0001918574551127021,0.0001918574551127021,0.00015781551695537188,0.00022579795953246932,1.0,True,200
uncalibrated,true_logit_unweighted_vector_T,donor_nll,lower_is_better,0.0002198721481223806,-0.0002198721481223806,-0.0003339252384759098,-0.00010352898691576352,0.0,True,200
uncalibrated,true_logit_unweighted_vector_T,donor_brier,lower_is_better,0.00023950678536288985,-0.00023950678536288985,-0.00027065158086295307,-0.0002094047348084228,0.0,True,200
uncalibrated,true_logit_unweighted_vector_T,sampled_donor_auprc,higher_is_better,-4.0375625181995886e-05,-4.0375625181995886e-05,-6.639821839747317e-05,-9.159956682602832e-06,0.005,True,200
uncalibrated,true_logit_unweighted_vector_T,target_weighted_donor_auprc,higher_is_better,-0.01356050845865023,-0.01356050845865023,-0.02694428742873548,-0.0019313012802916927,0.015,True,200
uncalibrated,true_logit_target_weighted_vector_T,weighted_multiclass_ece,lower_is_better,-0.001410136174674303,0.001410136174674303,0.0013840034566847486,0.0014348035375365217,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,weighted_multiclass_nll,lower_is_better,-0.0013720678944407509,0.0013720678944407509,0.001349384234607727,0.00138978581401813,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,weighted_multiclass_brier,lower_is_better,-7.621475555165473e-05,7.621475555165473e-05,6.780595880484375e-05,8.365587964483489e-05,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,acceptor_ece,lower_is_better,-0.0006716916468592223,0.0006716916468592223,0.0006579421471853105,0.0006873030524802918,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,acceptor_nll,lower_is_better,-0.0006592738130813822,0.0006592738130813822,0.0006443978605351956,0.0006732537955959022,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,acceptor_brier,lower_is_better,-1.9973125934236004e-05,1.9973125934236004e-05,1.659559549852392e-05,2.3084293904042797e-05,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,sampled_acceptor_auprc,higher_is_better,8.896379839645751e-07,8.896379839645751e-07,-3.740193832424388e-09,1.7645483458728072e-06,0.97,False,200
uncalibrated,true_logit_target_weighted_vector_T,target_weighted_acceptor_auprc,higher_is_better,0.0003354418228764233,0.0003354418228764233,0.000110349725716849,0.0006009889719695294,0.99,True,200
uncalibrated,true_logit_target_weighted_vector_T,donor_ece,lower_is_better,-0.0007219748915699243,0.0007219748915699243,0.000709404633936233,0.0007350061706368013,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,donor_nll,lower_is_better,-0.0007124679554848087,0.0007124679554848087,0.0006987342001997135,0.0007269727986368151,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,donor_brier,lower_is_better,-1.7813716923186433e-05,1.7813716923186433e-05,1.5217155033836433e-05,2.0949618064147536e-05,1.0,True,200
uncalibrated,true_logit_target_weighted_vector_T,sampled_donor_auprc,higher_is_better,1.009593189399416e-07,1.009593189399416e-07,-2.4007296852535108e-06,2.9213165398556137e-06,0.525,False,200
