method,class,metric,k,tp,precision,recall
uncalibrated,acceptor,top_1x_positives,53024,52652,0.9929843089921545,0.9929843089921545
uncalibrated,acceptor,top_2x_positives,106048,53023,0.49999057030778515,0.9999811406155703
uncalibrated,acceptor,top_5x_positives,265120,53024,0.2,1.0
uncalibrated,acceptor,top_10x_positives,530240,53024,0.1,1.0
uncalibrated,acceptor,threshold_0.001,133680,53023,0.3966412327947337,0.9999811406155703
uncalibrated,acceptor,threshold_0.01,57201,52997,0.9265047813849409,0.9994907966203983
uncalibrated,acceptor,threshold_0.05,53366,52782,0.9890567027695536,0.9954360289680145
uncalibrated,acceptor,threshold_0.1,52584,52362,0.995778183477864,0.9875150875075438
uncalibrated,acceptor,threshold_0.5,42748,42741,0.9998362496491064,0.806068949909475
uncalibrated,acceptor,threshold_0.9,3358,3358,1.0,0.06332981291490646
uncalibrated,donor,top_1x_positives,53064,52756,0.9941956882255389,0.9941956882255389
uncalibrated,donor,top_2x_positives,106128,53061,0.49997173224785163,0.9999434644957033
uncalibrated,donor,top_5x_positives,265320,53063,0.19999623096638022,0.9999811548319011
uncalibrated,donor,top_10x_positives,530640,53064,0.1,1.0
uncalibrated,donor,threshold_0.001,122444,53062,0.4333572898631211,0.9999623096638022
uncalibrated,donor,threshold_0.01,56345,53051,0.9415387345815955,0.9997550128147144
uncalibrated,donor,threshold_0.05,53334,52873,0.9913563580455245,0.9964005728931102
uncalibrated,donor,threshold_0.1,52633,52455,0.9966180913115346,0.9885232926277703
uncalibrated,donor,threshold_0.5,42442,42439,0.9999293153008812,0.7997700889491934
uncalibrated,donor,threshold_0.9,1623,1623,1.0,0.030585707824513794
global_T_1.1,acceptor,top_1x_positives,53024,52652,0.9929843089921545,0.9929843089921545
global_T_1.1,acceptor,top_2x_positives,106048,53023,0.49999057030778515,0.9999811406155703
global_T_1.1,acceptor,top_5x_positives,265120,53024,0.2,1.0
global_T_1.1,acceptor,top_10x_positives,530240,53024,0.1,1.0
global_T_1.1,acceptor,threshold_0.001,197783,53024,0.26809179757613144,1.0
global_T_1.1,acceptor,threshold_0.01,60257,53011,0.8797484109729989,0.999754828002414
global_T_1.1,acceptor,threshold_0.05,53667,52852,0.9848137589207521,0.9967561858780929
global_T_1.1,acceptor,threshold_0.1,52813,52524,0.9945278624581069,0.9905703077851539
global_T_1.1,acceptor,threshold_0.5,42746,42739,0.9998362419875544,0.8060312311406156
global_T_1.1,acceptor,threshold_0.9,1625,1625,1.0,0.030646499698249847
global_T_1.1,donor,top_1x_positives,53064,52756,0.9941956882255389,0.9941956882255389
global_T_1.1,donor,top_2x_positives,106128,53061,0.49997173224785163,0.9999434644957033
global_T_1.1,donor,top_5x_positives,265320,53063,0.19999623096638022,0.9999811548319011
global_T_1.1,donor,top_10x_positives,530640,53064,0.1,1.0
global_T_1.1,donor,threshold_0.001,180124,53062,0.29458595189980236,0.9999623096638022
global_T_1.1,donor,threshold_0.01,58618,53055,0.905097410351769,0.9998303934871099
global_T_1.1,donor,threshold_0.05,53592,52941,0.9878526645768025,0.9976820443238353
global_T_1.1,donor,threshold_0.1,52864,52633,0.9956302966101694,0.9918777325493744
global_T_1.1,donor,threshold_0.5,42441,42438,0.9999293136353997,0.7997512437810945
global_T_1.1,donor,threshold_0.9,621,621,1.0,0.011702849389416554
logit_unweighted_vector,acceptor,top_1x_positives,53024,52616,0.9923053711526856,0.9923053711526856
logit_unweighted_vector,acceptor,top_2x_positives,106048,53023,0.49999057030778515,0.9999811406155703
logit_unweighted_vector,acceptor,top_5x_positives,265120,53024,0.2,1.0
logit_unweighted_vector,acceptor,top_10x_positives,530240,53024,0.1,1.0
logit_unweighted_vector,acceptor,threshold_0.001,56514,52988,0.9376083802243692,0.9993210621605311
logit_unweighted_vector,acceptor,threshold_0.01,54194,52917,0.9764365058862605,0.9979820458660229
logit_unweighted_vector,acceptor,threshold_0.05,53406,52779,0.9882597460959442,0.9953794508147255
logit_unweighted_vector,acceptor,threshold_0.1,53092,52653,0.9917313342876516,0.9930031683765842
logit_unweighted_vector,acceptor,threshold_0.5,52082,51932,0.9971199262701125,0.9794055522027761
logit_unweighted_vector,acceptor,threshold_0.9,50006,49954,0.9989601247850258,0.9421016898008449
logit_unweighted_vector,donor,top_1x_positives,53064,52752,0.9941203075531434,0.9941203075531434
logit_unweighted_vector,donor,top_2x_positives,106128,53061,0.49997173224785163,0.9999434644957033
logit_unweighted_vector,donor,top_5x_positives,265320,53063,0.19999623096638022,0.9999811548319011
logit_unweighted_vector,donor,top_10x_positives,530640,53064,0.1,1.0
logit_unweighted_vector,donor,threshold_0.001,58588,53054,0.9055437973646481,0.999811548319011
logit_unweighted_vector,donor,threshold_0.01,54765,53028,0.9682826622843057,0.9993215739484396
logit_unweighted_vector,donor,threshold_0.05,53709,52948,0.9858310525237856,0.9978139605005276
logit_unweighted_vector,donor,threshold_0.1,53393,52891,0.9905980184668403,0.9967397859188903
logit_unweighted_vector,donor,threshold_0.5,52476,52323,0.9970843814315116,0.9860357304387155
logit_unweighted_vector,donor,threshold_0.9,50364,50334,0.9994043364307839,0.9485526910900045
logit_weighted_vector,acceptor,top_1x_positives,53024,52651,0.9929654496077248,0.9929654496077248
