method,bin,bin_low,bin_high,count,confidence_sum,correct_sum,mean_confidence,observed_accuracy,gap
fixed_global_T1p1,7,0.4666666666666667,0.5333333333333333,12803,6614.239969857374,6965.0,0.516616415672684,0.544013121924549,0.027396706251864966
fixed_global_T1p1,8,0.5333333333333333,0.6,27807,15776.741120334951,18723.0,0.567365811498362,0.6733196677095695,0.10595385621120756
fixed_global_T1p1,9,0.6,0.6666666666666666,34386,21835.844375146065,27805.0,0.6350213568064348,0.8086139708020706,0.17359261399563586
fixed_global_T1p1,10,0.6666666666666666,0.7333333333333333,49692,34906.68865443359,44649.0,0.7024609324324557,0.8985148514851485,0.19605391905269287
fixed_global_T1p1,11,0.7333333333333333,0.8,82325,63385.26392961934,78758.0,0.7699394343105902,0.956671727907683,0.18673229359709276
fixed_global_T1p1,12,0.8,0.8666666666666667,171097,143415.05218673733,168619.0,0.8382090404082908,0.9855169874398733,0.14730794703158245
fixed_global_T1p1,13,0.8666666666666667,0.9333333333333332,574888,522280.21538343455,573434.0,0.908490376183595,0.9974708117059323,0.08898043552233736
fixed_global_T1p1,14,0.9333333333333332,1.0,415187002,414248940.7631547,415186471.0,0.9977406295661315,0.9999987210582281,0.002258091492096548
genome_weighted_vectorT,7,0.4666666666666667,0.5333333333333333,5408,2795.814363105572,2880.0,0.5169775079707049,0.5325443786982249,0.015566870727520055
genome_weighted_vectorT,8,0.5333333333333333,0.6,11617,6587.919319358376,6645.0,0.5670929946938431,0.572006542136524,0.00491354744268091
genome_weighted_vectorT,9,0.6,0.6666666666666666,12471,7908.021507464703,8175.0,0.6341128624380324,0.6555208082751984,0.021407945837165987
genome_weighted_vectorT,10,0.6666666666666666,0.7333333333333333,14464,10138.31070464131,10529.0,0.7009340918584976,0.7279452433628318,0.027011151504334197
genome_weighted_vectorT,11,0.7333333333333333,0.8,18865,14496.162057218598,14939.0,0.7684156934650728,0.7918897429101511,0.02347404944507836
genome_weighted_vectorT,12,0.8,0.8666666666666667,28313,23673.705726891363,24397.0,0.83614261035183,0.8616889767951118,0.025546366443281787
genome_weighted_vectorT,13,0.8666666666666667,0.9333333333333332,57998,52496.86802557785,53436.0,0.9051496262901799,0.9213421152453533,0.016192488955173334
genome_weighted_vectorT,14,0.9333333333333332,1.0,415990864,415978350.20675755,415984131.0,0.9999699181055994,0.9999838145483887,1.3896442789262942e-05
openspliceai_style_vectorT,7,0.4666666666666667,0.5333333333333333,4724,2441.1742226499296,2484.0,0.5167599963272501,0.5258255715495342,0.009065575222284128
openspliceai_style_vectorT,8,0.5333333333333333,0.6,9805,5559.095450288418,5702.0,0.5669653697387473,0.5815400305966344,0.014574660857887056
openspliceai_style_vectorT,9,0.6,0.6666666666666666,10445,6622.498885573671,6552.0,0.6340353169529603,0.6272857826711346,0.006749534281825786
openspliceai_style_vectorT,10,0.6666666666666666,0.7333333333333333,12256,8592.312294426467,8524.0,0.7010698673650838,0.6954960835509139,0.0055737838141699525
openspliceai_style_vectorT,11,0.7333333333333333,0.8,15401,11827.553775746095,11818.0,0.7679731040676642,0.7673527693006947,0.0006203347669694326
openspliceai_style_vectorT,12,0.8,0.8666666666666667,22317,18655.441368960484,18494.0,0.8359296217663882,0.8286956132096608,0.0072340085567274
openspliceai_style_vectorT,13,0.8666666666666667,0.9333333333333332,43676,39524.80271144158,39160.0,0.9049547282590343,0.8966022529535672,0.008352475305467122
openspliceai_style_vectorT,14,0.9333333333333332,1.0,416021376,416013942.7059014,416012908.0,0.9999821324226892,0.9999796452766888,2.4871460003739188e-06
uncalibrated,7,0.4666666666666667,0.5333333333333333,11623,6005.058463153991,6256.0,0.5166530554206308,0.5382431386044911,0.021590083183860354
uncalibrated,8,0.5333333333333333,0.6,24990,14176.506071408417,16494.0,0.5672871577194245,0.6600240096038416,0.09273685188441705
