method,bin,bin_low,bin_high,count,confidence_sum,correct_sum,mean_confidence,observed_accuracy,gap
fixed_global_T1p1,7,0.4666666666666667,0.5333333333333333,13841,7152.61139140451,7794.0,0.516769842598404,0.5631096019073767,0.04633975930897272
fixed_global_T1p1,8,0.5333333333333333,0.6,29114,16516.820071211336,19854.0,0.5673153833623458,0.6819399601566257,0.11462457679427995
fixed_global_T1p1,9,0.6,0.6666666666666666,37484,23802.1000080883,31067.0,0.6349935974839478,0.8288069576352577,0.1938133601513099
fixed_global_T1p1,10,0.6666666666666666,0.7333333333333333,54258,38102.31287409214,49732.0,0.7022432244847236,0.9165837295882635,0.21434050510353986
fixed_global_T1p1,11,0.7333333333333333,0.8,89009,68509.60138438012,86009.0,0.7696929679513321,0.9662955431473221,0.19660257519599
fixed_global_T1p1,12,0.8,0.8666666666666667,176792,148111.10381020454,174820.0,0.837770395776984,0.9888456491243948,0.1510752533474108
fixed_global_T1p1,13,0.8666666666666667,0.9333333333333332,562903,511280.71982167504,561815.0,0.908292760602937,0.998067162548432,0.08977440194549502
fixed_global_T1p1,14,0.9333333333333332,1.0,415176599,414217325.29002196,415176150.0,0.9976894803023856,0.9999989185324966,0.002309438230110983
genome_weighted_vectorT,7,0.4666666666666667,0.5333333333333333,5730,2960.1641459499547,2982.0,0.5166080533944074,0.5204188481675392,0.0038107947731318426
genome_weighted_vectorT,8,0.5333333333333333,0.6,11997,6802.110289206956,7050.0,0.5669842701681217,0.5876469117279319,0.020662641559810235
genome_weighted_vectorT,9,0.6,0.6666666666666666,12987,8236.647016542942,8644.0,0.634222454496261,0.6655886655886656,0.03136621109240456
genome_weighted_vectorT,10,0.6666666666666666,0.7333333333333333,15233,10676.593891474397,11166.0,0.7008858328283593,0.7330138515065975,0.032128018678238224
genome_weighted_vectorT,11,0.7333333333333333,0.8,19994,15364.57293791623,16120.0,0.7684591846512069,0.8062418725617685,0.03778268791056161
genome_weighted_vectorT,12,0.8,0.8666666666666667,29904,25003.816821190223,26325.0,0.8361361965352536,0.8803170144462279,0.04418081791097428
genome_weighted_vectorT,13,0.8666666666666667,0.9333333333333332,60850,55065.92111890313,56888.00000000001,0.9049452936549405,0.9348890714872639,0.02994377783232338
genome_weighted_vectorT,14,0.9333333333333332,1.0,415983305,415971369.6273668,415977702.0,0.9999713080489294,0.9999865307094475,1.52226605181216e-05
openspliceai_style_vectorT,7,0.4666666666666667,0.5333333333333333,4717,2436.04330340793,2482.0,0.5164391145660229,0.5261818952724189,0.009742780706396004
openspliceai_style_vectorT,8,0.5333333333333333,0.6,9920,5622.8984373963785,5833.0,0.5668244392536672,0.5880040322580645,0.021179593004397312
openspliceai_style_vectorT,9,0.6,0.6666666666666666,10548,6687.209673923601,6560.0,0.6339789224425105,0.6219188471748198,0.012060075267690706
openspliceai_style_vectorT,10,0.6666666666666666,0.7333333333333333,11958,8381.305422801357,8417.0,0.7008952519485998,0.7038802475330322,0.002984995584432437
openspliceai_style_vectorT,11,0.7333333333333333,0.8,15351,11797.085836885535,11780.0,0.768489729456422,0.7673767181291121,0.0011130113273098985
