model_role,model,seed,epoch,method,weighted_multiclass_ece,weighted_multiclass_nll,weighted_multiclass_brier,target_weighted_acceptor_auprc,target_weighted_donor_auprc
primary,seed11_epoch11,11,11,uncalibrated,0.0014298000797494,0.0016255537439647,0.0002101182718988,0.8926196883412945,0.915186236488755
primary,seed11_epoch11,11,11,global_T_1.1,0.0023711402116582,0.002573949489219,0.000249297427389,0.892617413089228,0.915174422822773
primary,seed11_epoch11,11,11,true_logit_unweighted_vector_T,0.0001251607910031,0.0023155379846312,0.001260667248242,0.8923097595898418,0.901448897105808
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,1.6150185014728384e-05,0.0002532279777909,0.0001338177625546,0.8929532982114827,0.914787797584392
primary,seed11_epoch11,11,11,openspliceai_style_full_validation_vector_T_v2,1.240788756644602e-05,0.000253235853778,0.0001334387728489,0.8930084747327205,0.9150546312091542
replication,seed23_epoch14,23,14,uncalibrated,0.0014802952371723,0.0016705572706194,0.0002094794927159,0.8936845373984325,0.9228817277165514
replication,seed23_epoch14,23,14,global_T_1.1,0.002465408860966,0.0026631443497013,0.0002490645734203,0.8936856357542032,0.9228814137670032
replication,seed23_epoch14,23,14,true_logit_unweighted_vector_T,0.0001015871805288,0.0021446752238984,0.0011471377804032,0.8823162503710182,0.9175317895210828
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,2.006352154209552e-05,0.0002431723399605,0.0001293052547474,0.8931454132240935,0.923177788421342
replication,seed23_epoch14,23,14,openspliceai_style_full_validation_vector_T_v2,1.60181413609639e-05,0.0002440882386596,0.0001303519337049,0.8937471432648564,0.9229694936388184
