model_role,model,seed,epoch,method,weighted_multiclass_ece,weighted_multiclass_nll,weighted_multiclass_brier,acceptor_ece,acceptor_nll,acceptor_brier,sampled_acceptor_auprc,target_weighted_acceptor_auprc,donor_ece,donor_nll,donor_brier,sampled_donor_auprc,target_weighted_donor_auprc
primary,seed11_epoch11,11,11,uncalibrated,0.0014298000797494,0.0016255537439647,0.0002101182718988,0.0006965899662177,0.0007968884035805,5.604339877139071e-05,0.999488201897602,0.8926196883412945,0.0007397722848927,0.0008283388321794,4.869478499539037e-05,0.9996477778229252,0.915186236488755
primary,seed11_epoch11,11,11,global_T_1.1,0.0023711402116582,0.002573949489219,0.000249297427389,0.0011422682901301,0.0012460956324432,6.573167815451832e-05,0.9994883840449637,0.892617413089228,0.0012345639131042,0.0013268270503995,5.79127080745569e-05,0.9996477959500925,0.915174422822773
primary,seed11_epoch11,11,11,true_logit_unweighted_vector_T,0.0001251607910031,0.0023155379846312,0.001260667248242,0.0006122168384195,0.0012691507398865,0.000342483474505,0.9994701327865224,0.8923097595898418,0.0005489070890673,0.0010463875946228,0.0002878503852461,0.9996080044759516,0.901448897105808
primary,seed11_epoch11,11,11,true_logit_target_weighted_vector_T,1.6150185014728384e-05,0.0002532279777909,0.0001338177625546,2.138656666824861e-05,0.0001371652247393,3.600505264789401e-05,0.9994891008839256,0.8929532982114827,1.6417544443193598e-05,0.0001160628603965,3.090392281648602e-05,0.9996479302795565,0.914787797584392
primary,seed11_epoch11,11,11,openspliceai_style_full_validation_vector_T_v2,1.240788756644602e-05,0.000253235853778,0.0001334387728489,2.020786191403187e-05,0.0001374283993582,3.621234493032657e-05,0.9994894123668282,0.8930084747327205,1.5409538469578663e-05,0.0001158075793105,3.0507150182284544e-05,0.999647704739526,0.9150546312091542
replication,seed23_epoch14,23,14,uncalibrated,0.0014802952371723,0.0016705572706194,0.0002094794927159,0.0008080920239975,0.0009080733741484,5.726797430956281e-05,0.9995470529688262,0.8936845373984325,0.0006746227839546,0.0007621313953861,4.7125676197796216e-05,0.999690551615223,0.9228817277165514
replication,seed23_epoch14,23,14,global_T_1.1,0.002465408860966,0.0026631443497013,0.0002490645734203,0.0013343252431878,0.0014384257690433,6.776825161063495e-05,0.9995472455075368,0.8936856357542032,0.0011331690910891,0.001223594952401,5.5664223394908726e-05,0.999690580772022,0.9228814137670032
replication,seed23_epoch14,23,14,true_logit_unweighted_vector_T,0.0001015871805288,0.0021446752238984,0.0011471377804032,0.0005056477906503,0.0011201149767474,0.0002883185560993,0.99950100449727,0.8823162503710182,0.0005824271307028,0.0010245623597445,0.0002852519142824,0.9996721924950748,0.9175317895210828
replication,seed23_epoch14,23,14,true_logit_target_weighted_vector_T,2.006352154209552e-05,0.0002431723399605,0.0001293052547474,1.5298082875505847e-05,0.0001324064528696,3.462599583157211e-05,0.9995429634759552,0.8931454132240935,1.537947705311249e-05,0.0001107661441426,3.0026870059361468e-05,0.9996926222134837,0.923177788421342
replication,seed23_epoch14,23,14,openspliceai_style_full_validation_vector_T_v2,1.60181413609639e-05,0.0002440882386596,0.0001303519337049,1.3342966432569724e-05,0.0001335240543078,3.50467400120372e-05,0.9995464093144548,0.8937471432648564,1.8166595510034817e-05,0.000110564470752,3.012949109092519e-05,0.999691033506001,0.9229694936388184
