model_role,model,method,class,sampled_test_auprc,positives,source
primary,seed11_epoch11,Uncalibrated,acceptor,0.9995603129200396,53024,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv
primary,seed11_epoch11,Uncalibrated,donor,0.9996860653374028,53064,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv
primary,seed11_epoch11,Fixed global T=1.1,acceptor,0.999560477083114,53024,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv
primary,seed11_epoch11,Fixed global T=1.1,donor,0.999686117619204,53064,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv
primary,seed11_epoch11,Unweighted vector-T,acceptor,0.9995392004005672,53024,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv
primary,seed11_epoch11,Unweighted vector-T,donor,0.9996747402005732,53064,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv
primary,seed11_epoch11,Genome-weighted vector-T,acceptor,0.9995564152742588,53024,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv
primary,seed11_epoch11,Genome-weighted vector-T,donor,0.9996856983235046,53064,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv
primary,seed11_epoch11,OpenSpliceAI-style vector-T,acceptor,0.9995611608732204,53024,results/openspliceai_style_evaluation_flank400_seed11_epoch11/openspliceai_style_temperature_test_metrics.csv
primary,seed11_epoch11,OpenSpliceAI-style vector-T,donor,0.9996865058562638,53064,results/openspliceai_style_evaluation_flank400_seed11_epoch11/openspliceai_style_temperature_test_metrics.csv
replication,seed23_epoch14,Uncalibrated,acceptor,0.9996223193433844,53024,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv
replication,seed23_epoch14,Uncalibrated,donor,0.9997278170346005,53064,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv
replication,seed23_epoch14,Fixed global T=1.1,acceptor,0.9996225073549204,53024,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv
replication,seed23_epoch14,Fixed global T=1.1,donor,0.9997278570334168,53064,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv
replication,seed23_epoch14,Unweighted vector-T,acceptor,0.9995820799487102,53024,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv
replication,seed23_epoch14,Unweighted vector-T,donor,0.9997306091438568,53064,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv
replication,seed23_epoch14,Genome-weighted vector-T,acceptor,0.9996168726684684,53024,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv
replication,seed23_epoch14,Genome-weighted vector-T,donor,0.9997273674810512,53064,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv
replication,seed23_epoch14,OpenSpliceAI-style vector-T,acceptor,0.9996216180573988,53024,results/openspliceai_style_evaluation_flank400_seed23_epoch14/openspliceai_style_temperature_test_metrics.csv
replication,seed23_epoch14,OpenSpliceAI-style vector-T,donor,0.999728625413656,53064,results/openspliceai_style_evaluation_flank400_seed23_epoch14/openspliceai_style_temperature_test_metrics.csv
