method,class,mean_auprc,min_auprc,max_auprc,seed_range
Fixed global T=1.1,acceptor,0.9995914922190172,0.999560477083114,0.9996225073549204,6.203027180640142e-05
Fixed global T=1.1,donor,0.9997069873263105,0.999686117619204,0.9997278570334168,4.1739414212815795e-05
Genome-weighted vector-T,acceptor,0.9995866439713637,0.9995564152742588,0.9996168726684684,6.045739420967866e-05
Genome-weighted vector-T,donor,0.9997065329022778,0.9996856983235046,0.9997273674810512,4.1669157546553315e-05
OpenSpliceAI-style vector-T,acceptor,0.9995913894653097,0.9995611608732204,0.9996216180573988,6.0457184178352996e-05
OpenSpliceAI-style vector-T,donor,0.9997075656349599,0.9996865058562638,0.999728625413656,4.2119557392195084e-05
Uncalibrated,acceptor,0.999591316131712,0.9995603129200396,0.9996223193433844,6.20064233448625e-05
Uncalibrated,donor,0.9997069411860016,0.9996860653374028,0.9997278170346005,4.175169719766725e-05
Unweighted vector-T,acceptor,0.9995606401746386,0.9995392004005672,0.9995820799487102,4.2879548142971124e-05
Unweighted vector-T,donor,0.9997026746722151,0.9996747402005732,0.9997306091438568,5.586894328357683e-05
