model_role,model,method,class,sampled_test_auprc,positives,source,test_sampled_auprc,absolute_difference
primary,seed11_epoch11,Uncalibrated,acceptor,0.9995603129200396,53024,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv,0.9995603125650077,3.5503189277363845e-10
primary,seed11_epoch11,Uncalibrated,donor,0.9996860653374028,53064,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv,0.9996860656972636,3.5986080781924557e-10
primary,seed11_epoch11,Fixed global T=1.1,acceptor,0.999560477083114,53024,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv,0.9995604771239496,4.083555715794773e-11
primary,seed11_epoch11,Fixed global T=1.1,donor,0.999686117619204,53064,results/detection_metrics_flank400_seed11_epoch11/logit_detection_auprc_summary.csv,0.9996861176184417,7.622791287076325e-13
primary,seed11_epoch11,OpenSpliceAI-style vector-T,acceptor,0.9995611608732204,53024,results/openspliceai_style_evaluation_flank400_seed11_epoch11/openspliceai_style_temperature_test_metrics.csv,0.9995611608732204,0.0
primary,seed11_epoch11,OpenSpliceAI-style vector-T,donor,0.9996865058562638,53064,results/openspliceai_style_evaluation_flank400_seed11_epoch11/openspliceai_style_temperature_test_metrics.csv,0.9996865058562638,0.0
replication,seed23_epoch14,Uncalibrated,acceptor,0.9996223193433844,53024,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv,0.9996223193420567,1.3277157151492247e-12
replication,seed23_epoch14,Uncalibrated,donor,0.9997278170346005,53064,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv,0.9997278170335783,1.0221823387723816e-12
replication,seed23_epoch14,Fixed global T=1.1,acceptor,0.9996225073549204,53024,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv,0.9996225073531196,1.800781745942004e-12
replication,seed23_epoch14,Fixed global T=1.1,donor,0.9997278570334168,53064,results/detection_metrics_flank400_seed23_epoch14/logit_detection_auprc_summary.csv,0.9997278570322942,1.1226575225009583e-12
replication,seed23_epoch14,OpenSpliceAI-style vector-T,acceptor,0.9996216180573988,53024,results/openspliceai_style_evaluation_flank400_seed23_epoch14/openspliceai_style_temperature_test_metrics.csv,0.9996216180573987,1.1102230246251565e-16
replication,seed23_epoch14,OpenSpliceAI-style vector-T,donor,0.999728625413656,53064,results/openspliceai_style_evaluation_flank400_seed23_epoch14/openspliceai_style_temperature_test_metrics.csv,0.9997286254136559,1.1102230246251565e-16
