split,target_prior,method,multiclass_ece,multiclass_nll,multiclass_brier,acceptor_ece,acceptor_nll,acceptor_brier,donor_ece,donor_nll,donor_brier
validation,sampled_splice_enriched,uncalibrated,0.0037049811036644655,0.02547907343043603,0.015429274424800129,0.008159980839121986,0.012675811410944446,0.00384648724783549,0.008644610950957827,0.012807132407734985,0.003870078434907729
validation,sampled_splice_enriched,global_T_1.1,0.005400231213157586,0.02664327670962301,0.015657429112957835,0.008872861312274435,0.013209120220084941,0.0038955245012523647,0.009415621964758515,0.013441057340713679,0.003936279754768093
validation,sampled_splice_enriched,true_logit_unweighted_vector_T_0.6019_0.3171_0.3378,4.332657432964393e-05,0.004214423715699644,0.0022701825304517077,0.00013393953071248266,0.002328839920473916,0.0006226442903894149,8.710457005682057e-05,0.0018856279130571839,0.000512473983528658
validation,sampled_splice_enriched,true_logit_target_weighted_vector_T_0.3870_0.3794_0.3681,0.003932051654900685,0.025341008424564854,0.013813629308466791,0.005571611290253904,0.0140635102778956,0.0037802485421597975,0.004890652638723846,0.011277513206430277,0.0031265782378203703
test,sampled_splice_enriched,uncalibrated,0.007876652225660152,0.09198647855429168,0.05836184756267628,0.029124915663452895,0.04564522448538933,0.01447037024958492,0.030281919454924863,0.04635556648522027,0.014718281577157533
test,sampled_splice_enriched,global_T_1.1,0.011323573761766886,0.09328749092675774,0.058943854301552016,0.030297471017123895,0.04621445947559426,0.014593601624674093,0.0318731171278039,0.04710006324109492,0.01489223042409448
test,sampled_splice_enriched,true_logit_unweighted_vector_T_0.6019_0.3171_0.3378,0.00026959495879384494,0.011136283749001948,0.005938172713478033,0.0020273572078748445,0.0060833168254814,0.001603332908888081,0.0018267162584619818,0.005053279022825576,0.0013659819095992473
test,sampled_splice_enriched,true_logit_target_weighted_vector_T_0.3870_0.3794_0.3681,0.01583345667859413,0.09977786710665655,0.0532890126276226,0.021190930655462507,0.0545871631001922,0.014433032249841184,0.0188680757628549,0.045190776171505166,0.012211537406007224
validation,reconstructed_target_position,uncalibrated,0.001482511000521376,0.0016705480409307002,0.0002087580314610767,0.0007107189229756463,0.000812841456125402,5.524655796146071e-05,0.0007727997719144552,0.0008573209898507808,4.876887975756822e-05
validation,reconstructed_target_position,global_T_1.1,0.002451018367674167,0.0026467423581095924,0.00024974727752745087,0.0011683233660548652,0.0012732710485483672,6.520509846550849e-05,0.0012816551478798688,0.0013723164311955289,5.8562006747633776e-05
validation,reconstructed_target_position,true_logit_unweighted_vector_T_0.6019_0.3171_0.3378,7.565025739969343e-05,0.002177168265301458,0.0011935428959658182,0.0006023997333484133,0.0011788754601310331,0.00032343198073321686,0.0005359627448022798,0.0009982928367245894,0.0002733394865523294
validation,reconstructed_target_position,true_logit_target_weighted_vector_T_0.3870_0.3794_0.3681,1.0075747312890626e-05,0.0002395848404134581,0.00012655571692316304,1.340998826562173e-05,0.0001334749879265596,3.488527359397125e-05,1.336865666223053e-05,0.00010610992789155978,2.8392653639854213e-05
test,reconstructed_target_position,uncalibrated,0.0014298000764603625,0.0016255537439647011,0.00021011827189886594,0.0006965899662178009,0.000796888403580547,5.604339877139071e-05,0.0007397722848927676,0.0008283388321794838,4.869478499539037e-05
test,reconstructed_target_position,global_T_1.1,0.0023711402083698555,0.002573949489219041,0.0002492974273890254,0.0011422682901301193,0.0012460956324432434,6.573167815451832e-05,0.0012345639131042107,0.0013268270503995012,5.7912708074556904e-05
test,reconstructed_target_position,true_logit_unweighted_vector_T_0.6019_0.3171_0.3378,0.00012516079442108564,0.0023155379838356712,0.00126066724784628,0.0006122168381836812,0.0012691507392125687,0.00034248347434124595,0.0005489070890253335,0.001046387594501206,0.0002878503852120584
test,reconstructed_target_position,true_logit_target_weighted_vector_T_0.3870_0.3794_0.3681,1.6150188071475978e-05,0.0002532279777792859,0.00013381776254199788,2.138656666522687e-05,0.00013716522473512937,3.600505264531336e-05,1.6417544419811487e-05,0.00011606286038910244,3.090392281276368e-05
