epoch	nll	ece	T_nonsplice	T_acceptor	T_donor
1	0.0016789015	0.0014783664	1.0000000000	1.0000000000	1.0000000000
25	0.0005922259	0.0003632298	0.7807450294	0.8729869723	0.8402596712
50	0.0003566740	0.0001338922	0.6426229477	0.6811946034	0.6677935123
75	0.0002987953	0.0000745030	0.5677879453	0.5834807754	0.5781539083
100	0.0002759216	0.0000473994	0.5189605355	0.5241321921	0.5218862891
125	0.0002647334	0.0000305457	0.4831661284	0.4821684957	0.4820441306
150	0.0002590287	0.0000197939	0.4562950730	0.4517781138	0.4527781308
175	0.0002562184	0.0000120830	0.4365037978	0.4298158884	0.4315644801
200	0.0002549301	0.0000071577	0.4224788547	0.4144808948	0.4166893959
225	0.0002543914	0.0000042219	0.4130142927	0.4042306542	0.4067215025
250	0.0002541882	0.0000029494	0.4069633484	0.3977177739	0.4003770053
275	0.0002541193	0.0000019895	0.4033058286	0.3937958181	0.3965523243
300	0.0002540983	0.0000017877	0.4012168348	0.3915606439	0.3943713903
325	0.0002540924	0.0000024760	0.4000894129	0.3903557956	0.3931953311
350	0.0002540911	0.0000025193	0.3995148242	0.3897421658	0.3925961852
375	0.0002540907	0.0000026628	0.3992386758	0.3894473016	0.3923083544
400	0.0002540907	0.0000026339	0.3991137743	0.3893139660	0.3921781182
425	0.0002540906	0.0000026319	0.3990609646	0.3892576098	0.3921231925
450	0.0002540906	0.0000026296	0.3990401328	0.3892354071	0.3921014369
475	0.0002540906	0.0000026298	0.3990325034	0.3892273009	0.3920934498
500	0.0002540906	0.0000026299	0.3990300298	0.3892246485	0.3920908868
525	0.0002540906	0.0000026299	0.3990292549	0.3892237544	0.3920900822
550	0.0002540906	0.0000026299	0.3990292549	0.3892238140	0.3920900822
575	0.0002540906	0.0000026299	0.3990292549	0.3892238140	0.3920900524
600	0.0002540906	0.0000026299	0.3990292549	0.3892237544	0.3920900524
625	0.0002540906	0.0000026299	0.3990292549	0.3892237842	0.3920901120
650	0.0002540906	0.0000026299	0.3990292549	0.3892238140	0.3920900226
675	0.0002540906	0.0000026299	0.3990292549	0.3892238140	0.3920899332
700	0.0002540906	0.0000026344	0.3990291655	0.3892236948	0.3920928538
725	0.0002540926	0.0000026608	0.3990294337	0.3892332315	0.3925129175
750	0.0002540913	0.0000025301	0.3990426362	0.3892326355	0.3918655813
775	0.0002540907	0.0000026747	0.3990330994	0.3892301023	0.3921915293
800	0.0002540906	0.0000026095	0.3990300894	0.3892243207	0.3920733631
825	0.0002540906	0.0000026328	0.3990290463	0.3892233670	0.3920820057
850	0.0002540906	0.0000026284	0.3990290165	0.3892234564	0.3920882940
875	0.0002540906	0.0000026299	0.3990290761	0.3892235756	0.3920904696
900	0.0002540906	0.0000026299	0.3990290761	0.3892235756	0.3920898438
925	0.0002540906	0.0000026299	0.3990290761	0.3892235756	0.3920898736
950	0.0002540906	0.0000026299	0.3990290761	0.3892235756	0.3920899630
975	0.0002540906	0.0000026171	0.3990291059	0.3892234862	0.3920857310
1000	0.0002540917	0.0000024927	0.3990378082	0.3892232776	0.3917805552
1025	0.0002540911	0.0000027066	0.3990449309	0.3892313242	0.3918903768
1050	0.0002540907	0.0000025368	0.3990318179	0.3892307580	0.3921875358
1075	0.0002540906	0.0000026179	0.3990289867	0.3892233968	0.3920880854
1100	0.0002540906	0.0000026239	0.3990287483	0.3892232180	0.3920894563
1125	0.0002540906	0.0000026344	0.3990290463	0.3892236650	0.3920920491
1150	0.0002540906	0.0000026239	0.3990291059	0.3892236054	0.3920892477
1175	0.0002540906	0.0000026299	0.3990290761	0.3892236054	0.3920899928
1200	0.0002540906	0.0000026299	0.3990290761	0.3892236054	0.3920899332
1225	0.0002540906	0.0000026299	0.3990290761	0.3892236054	0.3920898139
1250	0.0002540906	0.0000026239	0.3990291059	0.3892236054	0.3920891583
1275	0.0002540939	0.0000025836	0.3990229964	0.3892429471	0.3926287293
1300	0.0002540943	0.0000023064	0.3990550935	0.3891745806	0.3915483356
1325	0.0002540907	0.0000026708	0.3990339339	0.3892389834	0.3921582997
1350	0.0002540907	0.0000026693	0.3990278244	0.3892291188	0.3921320438
1375	0.0002540906	0.0000026428	0.3990284204	0.3892247975	0.3921009898
1400	0.0002540906	0.0000026239	0.3990291059	0.3892234266	0.3920888007
1425	0.0002540906	0.0000026299	0.3990291059	0.3892236650	0.3920903504
1450	0.0002540906	0.0000026299	0.3990290463	0.3892236650	0.3920895755
1475	0.0002540906	0.0000026299	0.3990290463	0.3892235756	0.3920900226
1500	0.0002540906	0.0000026299	0.3990290463	0.3892235458	0.3920897841
1525	0.0002540906	0.0000026299	0.3990290463	0.3892235756	0.3920900226
1550	0.0002540906	0.0000026269	0.3990290463	0.3892239928	0.3920911849
1575	0.0002541288	0.0000024414	0.3990608156	0.3888750374	0.3903059363
1600	0.0002540929	0.0000023372	0.3990522027	0.3896613121	0.3918287456
1625	0.0002540908	0.0000027715	0.3990311921	0.3891400993	0.3921715617
1650	0.0002540906	0.0000026528	0.3990269005	0.3892270625	0.3921240270
1675	0.0002540906	0.0000026321	0.3990289569	0.3892170787	0.3920981884
1700	0.0002540906	0.0000026269	0.3990291953	0.3892240524	0.3920906782
1725	0.0002540906	0.0000026239	0.3990290761	0.3892235458	0.3920895159
1750	0.0002540906	0.0000026239	0.3990290761	0.3892234564	0.3920897841
1775	0.0002540906	0.0000026299	0.3990290761	0.3892236650	0.3920900226
1800	0.0002540906	0.0000026277	0.3990290165	0.3892265260	0.3920905590
