reference_method,comparison_method,metric,direction,mean_method_minus_reference,mean_improvement,improvement_ci_lower_2.5,improvement_ci_upper_97.5,probability_comparison_better,improvement_ci_excludes_zero,n_bootstrap
uncalibrated,global_T_1.1,weighted_multiclass_ece,lower_is_better,0.0009843960765320448,-0.0009843960765320448,-0.0009884546493780348,-0.0009799717395124787,0.0,True,200
uncalibrated,global_T_1.1,weighted_multiclass_nll,lower_is_better,0.0009924762227865383,-0.0009924762227865383,-0.000997448501060049,-0.0009882252222349827,0.0,True,200
uncalibrated,global_T_1.1,weighted_multiclass_brier,lower_is_better,3.96078634420478e-05,-3.96078634420478e-05,-4.093158540598505e-05,-3.8181194457733836e-05,0.0,True,200
uncalibrated,global_T_1.1,acceptor_ece,lower_is_better,0.0005243509655076023,-0.0005243509655076023,-0.0005290371805101022,-0.0005186753533731589,0.0,True,200
uncalibrated,global_T_1.1,acceptor_nll,lower_is_better,0.0005301795809448799,-0.0005301795809448799,-0.0005338920868139213,-0.0005269763448793377,0.0,True,200
uncalibrated,global_T_1.1,acceptor_brier,lower_is_better,1.0490277096074311e-05,-1.0490277096074311e-05,-1.1084547102341044e-05,-9.944861705207057e-06,0.0,True,200
uncalibrated,global_T_1.1,sampled_acceptor_auprc,higher_is_better,1.934284088211946e-07,1.934284088211946e-07,7.82984110658802e-08,3.689877542817355e-07,1.0,True,200
uncalibrated,global_T_1.1,target_weighted_acceptor_auprc,higher_is_better,4.5429820762721286e-07,4.5429820762721286e-07,-1.0581308472623619e-05,1.409169700751778e-05,0.51,False,200
uncalibrated,global_T_1.1,donor_ece,lower_is_better,0.0004580324161106225,-0.0004580324161106225,-0.0004612069467277146,-0.0004540486430148783,0.0,True,200
uncalibrated,global_T_1.1,donor_nll,lower_is_better,0.00046152593547988036,-0.00046152593547988036,-0.0004643301178842132,-0.00045878635527073843,0.0,True,200
uncalibrated,global_T_1.1,donor_brier,lower_is_better,8.560285739766393e-06,-8.560285739766393e-06,-8.96415867148265e-06,-8.089297606289096e-06,0.0,True,200
uncalibrated,global_T_1.1,sampled_donor_auprc,higher_is_better,2.7887627148115435e-08,2.7887627148115435e-08,-2.6603292593851968e-08,7.784323199921955e-08,0.845,False,200
uncalibrated,global_T_1.1,target_weighted_donor_auprc,higher_is_better,1.9353163207835865e-07,1.9353163207835865e-07,-1.3224148341750563e-05,1.684195833973057e-05,0.465,False,200
uncalibrated,true_logit_unweighted_vector_T,weighted_multiclass_ece,lower_is_better,-0.001355476882601085,0.001355476882601085,0.0013083785942132919,0.0014033318713653814,1.0,True,200
uncalibrated,true_logit_unweighted_vector_T,weighted_multiclass_nll,lower_is_better,0.00047640797096625204,-0.00047640797096625204,-0.0006468018464763289,-0.00031019152369062355,0.0,True,200
uncalibrated,true_logit_unweighted_vector_T,weighted_multiclass_brier,lower_is_better,0.0009398749981227926,-0.0009398749981227926,-0.001028832371883307,-0.0008591238795999547,0.0,True,200
