method,reliability_type,class,bin,bin_lower,bin_upper,raw_count,target_weight,target_weight_fraction,mean_predicted_probability,observed_frequency,absolute_gap,ece_contribution
uncalibrated,multiclass,argmax,0,0.0,0.06666666666666667,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,2,0.13333333333333333,0.2,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,3,0.2,0.26666666666666666,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,4,0.26666666666666666,0.3333333333333333,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,5,0.3333333333333333,0.4,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,6,0.4,0.4666666666666667,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,7,0.4666666666666667,0.5333333333333333,6336,11216.047608,2.7539004018727996e-05,0.5133212880684448,0.5257666523984676,0.012445364330022857,3.427329382990335e-07
uncalibrated,multiclass,argmax,8,0.5333333333333333,0.6,12913,29993.166628000003,7.364287003504937e-05,0.568562074077498,0.7281259037054285,0.15956382962793048,1.1750738367584445e-05
uncalibrated,multiclass,argmax,9,0.6,0.6666666666666666,14508,33214.849164,8.155313677131819e-05,0.634762995003873,0.8089702658991128,0.1742072708952398,1.4207149389877569e-05
uncalibrated,multiclass,argmax,10,0.6666666666666666,0.7333333333333333,16839,42052.579307999986,0.00010325260653626938,0.6997161515209159,0.8485380640899644,0.14882191256904842,1.536625038246704e-05
uncalibrated,multiclass,argmax,11,0.7333333333333333,0.8,20609,80796.25383199994,0.00019838078766628694,0.7703963626205527,0.9581497766588182,0.1877534140382655,3.724667016394561e-05
uncalibrated,multiclass,argmax,12,0.8,0.8666666666666667,22168,131155.72991200013,0.00032202949732038755,0.8365364541756396,0.9852160481185154,0.14867959394287578,4.7879214899223627e-05
uncalibrated,multiclass,argmax,13,0.8666666666666667,0.9333333333333333,13860,407517.17371200165,0.0010005857211724746,0.9069710117727918,0.9967510571691004,0.08978004539630857,8.983263146976292e-05
uncalibrated,multiclass,argmax,14,0.9333333333333333,1.0,500755,406542676.20118266,0.998193016379786,0.9987323773243004,0.9999983347381723,0.001265957413871921,0.0012636698495611658
