method,reliability_type,class,bin,bin_lower,bin_upper,raw_count,target_weight,target_weight_fraction,mean_predicted_probability,observed_frequency,absolute_gap,ece_contribution
uncalibrated,multiclass,argmax,0,0.0,0.06666666666666667,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,2,0.13333333333333333,0.2,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,3,0.2,0.26666666666666666,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,4,0.26666666666666666,0.3333333333333333,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,5,0.3333333333333333,0.4,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,6,0.4,0.4666666666666667,0,0.0,0.0,,,,0.0
uncalibrated,multiclass,argmax,7,0.4666666666666667,0.5333333333333333,6381,18581.119020000002,4.562262298166979e-05,0.5182399335633759,0.529662940827554,0.011423007264178109,5.211475537304732e-07
uncalibrated,multiclass,argmax,8,0.5333333333333333,0.6,13057,26883.801556000002,6.60083787947996e-05,0.5679133355993431,0.7473317707002642,0.17941843510092115,1.1843120026911771e-05
uncalibrated,multiclass,argmax,9,0.6,0.6666666666666666,13863,30129.825360000003,7.39784111722908e-05,0.6374543592451027,0.8035274859621689,0.1660731267170662,1.2285826052943076e-05
uncalibrated,multiclass,argmax,10,0.6666666666666666,0.7333333333333333,15777,38550.55550399999,9.465401182780468e-05,0.7010214554460134,0.9056822929666286,0.20466083752061526,1.9371969335364727e-05
uncalibrated,multiclass,argmax,11,0.7333333333333333,0.8,18405,71272.18241999992,0.00017499612935736148,0.7711916797492481,0.9339197653827082,0.16272808563346008,2.847678512358878e-05
uncalibrated,multiclass,argmax,12,0.8,0.8666666666666667,20929,141303.50766400003,0.00034694555528131803,0.8394712158728316,0.9832488234784066,0.143777607605575,4.988300190773568e-05
uncalibrated,multiclass,argmax,13,0.8666666666666667,0.9333333333333333,17504,430681.36414400215,0.001057461258410961,0.9077773492996073,0.9958879112321937,0.08811056193258637,9.317350570052971e-05
uncalibrated,multiclass,argmax,14,0.9333333333333333,1.0,502072,406521219.6456786,0.99814033363548,0.9987815152222238,0.999998022243462,0.0012165070212382112,0.001214244724048612
