method,metric,mean,std,ci_lower_2.5,ci_upper_97.5
uncalibrated,weighted_multiclass_ece,0.0016334520873921,1.148511030593075e-05,0.0016130834079663,0.0016538396968121
global T=1.1,weighted_multiclass_ece,0.0026958409617825,1.328811364114585e-05,0.0026708164349715,0.0027183182477771
true-logit unweighted vector T,weighted_multiclass_ece,0.000130708700134,2.9124489184476527e-05,8.02171607934761e-05,0.0001878623495475
true-logit genome-weighted vector T,weighted_multiclass_ece,3.4604096785464886e-05,4.84979248920365e-06,2.555688507667505e-05,4.417101505100268e-05
OpenSpliceAI-style vector T,weighted_multiclass_ece,1.8930045502779387e-05,5.394558119759555e-06,9.772533537815398e-06,3.009738066030897e-05
uncalibrated,weighted_multiclass_nll,0.0018397885620738,1.381048088540646e-05,0.0018149053663941,0.0018659751772476
global T=1.1,weighted_multiclass_nll,0.0029111126332622,1.546770400629359e-05,0.0028827765849367,0.0029415661128673
true-logit unweighted vector T,weighted_multiclass_nll,0.0022994761634108,9.72524957602938e-05,0.0021285185266629,0.0024721995374651
true-logit genome-weighted vector T,weighted_multiclass_nll,0.000269185507841,9.708323392632998e-06,0.0002526108620991,0.0002881783267969
OpenSpliceAI-style vector T,weighted_multiclass_nll,0.0002596800964738,1.2378148339684788e-05,0.000238204233173,0.0002836910741127
uncalibrated,acceptor_auprc,0.999457336970608,4.244820934282723e-05,0.9993724780955306,0.999543165132209
global T=1.1,acceptor_auprc,0.999457581975194,4.243322205033597e-05,0.9993726624372292,0.9995433276269748
true-logit unweighted vector T,acceptor_auprc,0.9994099709326244,4.354559613339e-05,0.999320665285624,0.99948773174895
true-logit genome-weighted vector T,acceptor_auprc,0.999456574422182,4.251021979513039e-05,0.9993720088338937,0.9995428016650338
OpenSpliceAI-style vector T,acceptor_auprc,0.999457733979382,4.242384672392461e-05,0.9993731387914422,0.999543459419134
uncalibrated,donor_auprc,0.9995830598122672,4.116602627860168e-05,0.999498887215706,0.9996624879067374
global T=1.1,donor_auprc,0.9995831413725642,4.115434437456197e-05,0.9994990077316188,0.9996624918325914
true-logit unweighted vector T,donor_auprc,0.9995407768290678,4.1196361545514864e-05,0.9994502194669777,0.9996164861966568
true-logit genome-weighted vector T,donor_auprc,0.9995810389126004,4.154325642033186e-05,0.9994970888096356,0.9996609662065258
OpenSpliceAI-style vector T,donor_auprc,0.9995821484578198,4.1295607350337087e-05,0.999497907157015,0.9996621479486216
