method,type,class,bin,mean_confidence,observed_frequency,weighted_count
uncalibrated,multiclass,argmax,0,0.5174081290919755,0.6499315827225106,13971.862592000001
uncalibrated,multiclass,argmax,1,0.5733383391744165,0.6166577061235978,28496.725184000003
uncalibrated,multiclass,argmax,2,0.6327727530443978,0.6932816403469361,47779.98948800001
uncalibrated,multiclass,argmax,3,0.7037606459688728,0.8541372423849211,121189.26235199999
uncalibrated,multiclass,argmax,4,0.7712220484307353,0.9282971143147027,263099.59243200003
uncalibrated,multiclass,argmax,5,0.8392708690358193,0.976898116621718,707128.49392
uncalibrated,multiclass,argmax,6,0.9088000912507359,0.9962177150983645,2565116.1275040004
uncalibrated,multiclass,argmax,7,0.9952721502239672,0.9999944861127116,412413217.9465281
uncalibrated,binary,acceptor,0,0.0022331651692174934,3.774649540011456e-06,414078176.90944
uncalibrated,binary,acceptor,1,0.0915832714163372,0.004237220538208861,1441510.9964
uncalibrated,binary,acceptor,2,0.1606061376347759,0.02343383652723168,391954.59904
uncalibrated,binary,acceptor,3,0.2276074834015932,0.07059944468305454,141460.03619200003
uncalibrated,binary,acceptor,4,0.29777879134778784,0.13245205252440218,66182.439856
uncalibrated,binary,acceptor,5,0.37007831109055067,0.3105504176860496,21725.940832
uncalibrated,binary,acceptor,6,0.4230183197946592,0.5021118142788893,10027.646944
uncalibrated,binary,acceptor,7,0.48898924400540933,0.47396800687442814,6327.431296000001
uncalibrated,binary,acceptor,8,0.561948142823933,1.0,1590.0
uncalibrated,binary,acceptor,9,0.6284194895511622,1.0,709.0
uncalibrated,binary,acceptor,10,0.6916963622029386,1.0,269.0
uncalibrated,binary,acceptor,11,0.7547565036349826,1.0,54.0
uncalibrated,binary,acceptor,12,0.8194654854861173,1.0,11.0
uncalibrated,binary,acceptor,13,0.8867349028587341,1.0,1.0
uncalibrated,binary,donor,0,0.0024897622637128076,1.939382304413249e-06,414564987.09430397
uncalibrated,binary,donor,1,0.09090472691635071,0.003461798520894676,1061298.0443040002
uncalibrated,binary,donor,2,0.1605574821973989,0.023047604906929746,309186.14011200005
uncalibrated,binary,donor,3,0.22996109261257724,0.07304964367705688,121191.55624
uncalibrated,binary,donor,4,0.2943649688597104,0.17051464628635923,52165.606848
uncalibrated,binary,donor,5,0.36515039719065595,0.3206771908087673,24498.156480000005
uncalibrated,binary,donor,6,0.4276386822332983,0.4393631530258661,13357.970416
uncalibrated,binary,donor,7,0.49779725002415104,0.5625913203592974,7609.431296000001
uncalibrated,binary,donor,8,0.5640901313287214,1.0,2669.0
uncalibrated,binary,donor,9,0.6304335685341599,1.0,1628.0
uncalibrated,binary,donor,10,0.6962997968698241,1.0,894.0
uncalibrated,binary,donor,11,0.7612925028033934,1.0,373.0
uncalibrated,binary,donor,12,0.8244909784107497,1.0,132.0
uncalibrated,binary,donor,13,0.877803498506546,1.0,10.0
global_T_1.1,multiclass,argmax,0,0.5173714781023643,0.655605808588281,15560.970416000002
global_T_1.1,multiclass,argmax,1,0.5742540888540543,0.6389703472095932,34249.264304
global_T_1.1,multiclass,argmax,2,0.6382857603846508,0.7390759182656027,63853.82249600001
global_T_1.1,multiclass,argmax,3,0.704730711958327,0.8751332320178545,154204.359664
global_T_1.1,multiclass,argmax,4,0.7715339302442092,0.9462045218828553,359137.99219200003
global_T_1.1,multiclass,argmax,5,0.8386276986751557,0.9851886573948486,960412.595888
global_T_1.1,multiclass,argmax,6,0.9085421143787865,0.9981662838058089,3753034.423648
global_T_1.1,multiclass,argmax,7,0.9927526910775256,0.9999969402624328,410819546.57139206
global_T_1.1,binary,acceptor,0,0.003390195810796118,2.1778476358754384e-06,413252049.94803196
global_T_1.1,binary,acceptor,1,0.09191882634861172,0.0022051467326757537,2035692.198384
global_T_1.1,binary,acceptor,2,0.16063536857998822,0.015289744993653112,540820.00736
global_T_1.1,binary,acceptor,3,0.22768898186572378,0.05312519516939376,195971.04475200002
global_T_1.1,binary,acceptor,4,0.29621681359657753,0.1193449105964843,81260.272864
global_T_1.1,binary,acceptor,5,0.36161691794892364,0.2432253241244126,31888.126896
global_T_1.1,binary,acceptor,6,0.42308857424503327,0.431360118554119,13169.970416
global_T_1.1,binary,acceptor,7,0.48993813015460513,0.497096646147613,6618.431296000001
global_T_1.1,binary,acceptor,8,0.5614241990109832,1.0,1635.0
global_T_1.1,binary,acceptor,9,0.6286733432347515,1.0,664.0
global_T_1.1,binary,acceptor,10,0.6916738219750234,1.0,195.0
global_T_1.1,binary,acceptor,11,0.7573455691337585,1.0,30.0
global_T_1.1,binary,acceptor,12,0.8232241372267405,1.0,6.0
global_T_1.1,binary,donor,0,0.0038517606798056207,1.0920496448198557e-06,413900597.05075204
global_T_1.1,binary,donor,1,0.09099166255782859,0.0016014634348635417,1566067.6012960002
global_T_1.1,binary,donor,2,0.16229308605321927,0.014868945873695895,404601.64769600006
global_T_1.1,binary,donor,3,0.23005275878271617,0.055041636493768205,161150.731792
global_T_1.1,binary,donor,4,0.29493367219388744,0.14023709862796238,67749.54768
global_T_1.1,binary,donor,5,0.36090536707969995,0.30716831299742087,28824.587776000004
global_T_1.1,binary,donor,6,0.42442093542236886,0.3992107507070334,16620.293888000004
global_T_1.1,binary,donor,7,0.49497719002607965,0.530812431307323,8867.539120000001
global_T_1.1,binary,donor,8,0.5638693731325167,1.0,2775.0
global_T_1.1,binary,donor,9,0.629791810482647,1.0,1595.0
global_T_1.1,binary,donor,10,0.6949625050945647,1.0,785.0
global_T_1.1,binary,donor,11,0.7613407211999098,1.0,288.0
global_T_1.1,binary,donor,12,0.820695526599884,1.0,75.0
global_T_1.1,binary,donor,13,0.8731867074966431,1.0,3.0
