bin,bin_lower,bin_upper,count,weight_sum,mean_pred,observed,abs_gap,ece_contribution,method,reliability_type,class
0,0.0,0.06666666666666667,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
1,0.06666666666666667,0.13333333333333333,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
2,0.13333333333333333,0.2,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
3,0.2,0.26666666666666666,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
4,0.26666666666666666,0.3333333333333333,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
5,0.3333333333333333,0.4,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
6,0.4,0.4666666666666667,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
7,0.4666666666666667,0.5333333333333333,7101,13749.862592000001,0.5151956574666411,0.5642630294003159,0.04906737193367483,1.6211784454022162e-06,uncalibrated,multiclass,argmax
8,0.5333333333333333,0.6,14179,29970.048656,0.5713952367743543,0.6445902685624255,0.07319503178807119,5.271190561481064e-06,uncalibrated,multiclass,argmax
9,0.6,0.6666666666666666,15253,33537.372128,0.6342311284705275,0.807283181779054,0.17305205330852647,1.394586483401227e-05,uncalibrated,multiclass,argmax
10,0.6666666666666666,0.7333333333333333,16724,40826.126896,0.7005609298373816,0.8648851589068945,0.16432422906951294,1.6120534957899144e-05,uncalibrated,multiclass,argmax
11,0.7333333333333333,0.8,18753,78592.763328,0.7696803563914848,0.9475637749648665,0.17788341857338175,3.3593688523436536e-05,uncalibrated,multiclass,argmax
12,0.8,0.8666666666666667,19132,162913.653552,0.8375007001982216,0.9849613586916581,0.14746065849343648,5.772624622825235e-05,uncalibrated,multiclass,argmax
13,0.8666666666666667,0.9333333333333333,13912,486812.351856,0.9082411990606833,0.9965284364836743,0.08828723742299094,0.00010327594600335275,uncalibrated,multiclass,argmax
14,0.9333333333333333,1.0,501034,415313597.8209921,0.9985949982844233,0.9999981507949558,0.0014031525105324683,0.0014002987251076435,uncalibrated,multiclass,argmax
