bin,bin_lower,bin_upper,count,weight_sum,mean_pred,observed,abs_gap,ece_contribution,method,reliability_type,class
0,0.0,0.06666666666666667,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
1,0.06666666666666667,0.13333333333333333,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
2,0.13333333333333333,0.2,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
3,0.2,0.26666666666666666,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
4,0.26666666666666666,0.3333333333333333,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
5,0.3333333333333333,0.4,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
6,0.4,0.4666666666666667,0,0.0,,,,0.0,uncalibrated,multiclass,argmax
7,0.4666666666666667,0.5333333333333333,6251,10406.539120000001,0.5169633310270519,0.47337694032519045,0.04358639070186149,1.0899257015054928e-06,uncalibrated,multiclass,argmax
8,0.5333333333333333,0.6,12812,20291.970416000004,0.5661436232133519,0.5453108332582145,0.020832789955137376,1.015807279537653e-06,uncalibrated,multiclass,argmax
9,0.6,0.6666666666666666,13597,26063.617360000004,0.6355291735244938,0.8065844907723124,0.17105531724781864,1.0712995809641854e-05,uncalibrated,multiclass,argmax
10,0.6666666666666666,0.7333333333333333,15495,42090.450368000005,0.7003333784552576,0.8954369034894905,0.1951035250342329,1.9732783633879338e-05,uncalibrated,multiclass,argmax
11,0.7333333333333333,0.8,18063,68760.577264,0.7679668741204521,0.9562103734464076,0.18824349932595552,3.110277700847774e-05,uncalibrated,multiclass,argmax
12,0.8,0.8666666666666667,20570,120302.93888,0.8392838373154909,0.9805989776997208,0.14131514038422988,4.085117910530235e-05,uncalibrated,multiclass,argmax
13,0.8666666666666667,0.9333333333333333,17166,387008.98168,0.9077137739624105,0.9955375712664262,0.08782379730401568,8.167194915873183e-05,uncalibrated,multiclass,argmax
14,0.9333333333333333,1.0,502134,415485074.9249121,0.9986726163474826,0.9999981034216449,0.001325487074162246,0.0013233374094586295,uncalibrated,multiclass,argmax
