chrom,method,reported_multiclass_ece,reconstructed_multiclass_ece,difference,absolute_difference
chr1,fixed_global_T1p1,0.0026762183067503,0.0026762183067502252,-7.45931094670027e-17,7.45931094670027e-17
chr1,genome_weighted_vectorT,2.347018874911606e-05,2.3470188749005067e-05,-1.109918092764145e-16,1.109918092764145e-16
chr1,openspliceai_style_vectorT,8.519732158024605e-06,8.519732158024605e-06,0.0,0.0
chr1,uncalibrated,0.0016012396995482,0.0016012396995484354,2.3548871186385156e-16,2.3548871186385156e-16
chr1,unweighted_vectorT,4.422693355407176e-05,4.422693355418252e-05,1.1075802818297231e-16,1.1075802818297231e-16
chr3,fixed_global_T1p1,0.0024805752938068,0.0024805752938068825,8.239936510889834e-17,8.239936510889834e-17
chr3,genome_weighted_vectorT,2.574364198550784e-05,2.574364198539687e-05,-1.1096809235389138e-16,1.1096809235389138e-16
chr3,openspliceai_style_vectorT,3.0032600878029308e-06,3.0032600878029418e-06,1.1011428314305904e-20,1.1011428314305904e-20
chr3,uncalibrated,0.0014749493163425,0.0014749493163425632,6.310056643865636e-17,6.310056643865636e-17
chr3,unweighted_vectorT,4.564608136454439e-05,4.5646081364544317e-05,-7.453889935837843e-20,7.453889935837843e-20
chr5,fixed_global_T1p1,0.0024941467225708,0.002494146722571043,2.42861286636753e-16,2.42861286636753e-16
chr5,genome_weighted_vectorT,2.789882290320424e-05,2.7898822902982287e-05,-2.2195312536672784e-16,2.2195312536672784e-16
chr5,openspliceai_style_vectorT,4.041121639223722e-06,4.0411216394457185e-06,2.2199632404703781e-16,2.2199632404703781e-16
chr5,uncalibrated,0.0014853726066995,0.001485372606699535,3.491130995403324e-17,3.491130995403324e-17
chr5,unweighted_vectorT,6.753124695574971e-05,6.753124695574962e-05,-9.486769009248164e-20,9.486769009248164e-20
chr7,fixed_global_T1p1,0.0025931178706038,0.0025931178706038688,6.895525817007808e-17,6.895525817007808e-17
chr7,genome_weighted_vectorT,3.085264268266722e-05,3.085264268255624e-05,-1.1098164488104745e-16,1.1098164488104745e-16
chr7,openspliceai_style_vectorT,1.940328695265197e-06,1.9403286952651864e-06,-1.0587911840678754e-20,1.0587911840678754e-20
chr7,uncalibrated,0.0015492700401699,0.001549270040169689,-2.1098574276567916e-16,2.1098574276567916e-16
chr7,unweighted_vectorT,4.922448068603858e-05,4.922448068603868e-05,9.486769009248164e-20,9.486769009248164e-20
chr9,fixed_global_T1p1,0.0027053616412915,0.002705361641291792,2.92300905702092e-16,2.92300905702092e-16
chr9,genome_weighted_vectorT,3.3489757671028854e-05,3.3489757671028874e-05,2.0328790734103208e-20,2.0328790734103208e-20
chr9,openspliceai_style_vectorT,3.088105764243002e-06,3.08810576424299e-06,-1.2281977735187355e-20,1.2281977735187355e-20
chr9,uncalibrated,0.0016248830737171,0.0016248830737174017,3.0162504438546733e-16,3.0162504438546733e-16
chr9,unweighted_vectorT,5.01178075787964e-05,5.011780757890715e-05,1.1075125191939428e-16,1.1075125191939428e-16
