method,chrom,multiclass_ece,multiclass_nll,acceptor_ece,donor_ece,total_positions,nonsplice_count,acceptor_count,donor_count
uncalibrated,chr1,0.0016012396995482,0.0018150051397016,0.000850776242931,0.0007505717082682,116030000,115992869,18558,18573
fixed_global_T1p1,chr1,0.0026762183067503,0.0028973281278484,0.0014155144350105,0.0012606337340366,116030000,115992869,18558,18573
unweighted_vectorT,chr1,4.422693355407176e-05,0.0019839411410844,0.0004663198200263,0.0005591781703895,116030000,115992869,18558,18573
genome_weighted_vectorT,chr1,2.347018874911606e-05,0.0002849632470694,2.0892346191088524e-05,1.5583321364804766e-05,116030000,115992869,18558,18573
openspliceai_style_vectorT,chr1,8.519732158024605e-06,0.0002739365969925,6.406870275325613e-06,7.949711567816845e-06,116030000,115992869,18558,18573
uncalibrated,chr3,0.0014749493163425,0.0016383335792779,0.000792146308444,0.0006826257535088,94790000,94768348,10823,10829
fixed_global_T1p1,chr3,0.0024805752938068,0.0026513725687075,0.0013256799135731,0.0011546066073804,94790000,94768348,10823,10829
unweighted_vectorT,chr3,4.564608136454439e-05,0.001895562398337,0.0004484736587879,0.0005344688977414,94790000,94768348,10823,10829
genome_weighted_vectorT,chr3,2.574364198550784e-05,0.0002167174397329,1.6364143196458148e-05,1.3655115793872533e-05,94790000,94768348,10823,10829
openspliceai_style_vectorT,chr3,3.0032600878029308e-06,0.0002071971928491,2.59329724887446e-06,2.3904523835769823e-06,94790000,94768348,10823,10829
uncalibrated,chr5,0.0014853726066995,0.0016501608516909,0.000799563312662,0.0006864759027719,76480000,76463984,8005,8011
fixed_global_T1p1,chr5,0.0024941467225708,0.0026665503009747,0.0013346100108777,0.001160065453738,76480000,76463984,8005,8011
unweighted_vectorT,chr5,6.753124695574971e-05,0.0019999694534857,0.0004637557551003,0.000549031049303,76480000,76463984,8005,8011
genome_weighted_vectorT,chr5,2.789882290320424e-05,0.0002168740113084,1.5777055651064006e-05,1.550261601375155e-05,76480000,76463984,8005,8011
openspliceai_style_vectorT,chr5,4.041121639223722e-06,0.0002102569474184,8.134370203168356e-06,1.0223369035236951e-05,76480000,76463984,8005,8011
uncalibrated,chr7,0.0015492700401699,0.0017171360868982,0.0008283376553935,0.0007214071273724,75960000,75943204,8395,8401
fixed_global_T1p1,chr7,0.0025931178706038,0.0027691678518964,0.0013789390583425,0.0012144552068251,75960000,75943204,8395,8401
unweighted_vectorT,chr7,4.922448068603858e-05,0.001988765525364,0.0004691867979428,0.0005580934308896,75960000,75943204,8395,8401
genome_weighted_vectorT,chr7,3.085264268266722e-05,0.0002226851369352,1.6584123560715156e-05,1.4855520102378814e-05,75960000,75943204,8395,8401
openspliceai_style_vectorT,chr7,1.940328695265197e-06,0.000213427529013,6.586312694806148e-06,4.454263531044302e-06,75960000,75943204,8395,8401
uncalibrated,chr9,0.0016248830737171,0.0018077453706521,0.0008654906467619,0.0007582144789805,52880000,52865507,7243,7250
fixed_global_T1p1,chr9,0.0027053616412915,0.0028970752335368,0.0014350979423742,0.001268986567732,52880000,52865507,7243,7250
unweighted_vectorT,chr9,5.01178075787964e-05,0.0020382118473584,0.0004790481785452,0.0005787481255591,52880000,52865507,7243,7250
genome_weighted_vectorT,chr9,3.3489757671028854e-05,0.0002441562775121,2.0007668353203443e-05,1.785961755276721e-05,52880000,52865507,7243,7250
openspliceai_style_vectorT,chr9,3.088105764243002e-06,0.0002310254375707,3.322536211417753e-06,3.326214730557996e-06,52880000,52865507,7243,7250
