chrom,method,reported_multiclass_ece,reconstructed_multiclass_ece,difference,absolute_difference
chr1,fixed_global_T1p1,0.0026260927055507,0.0026260927055509584,2.5847379792054426e-16,2.5847379792054426e-16
chr1,genome_weighted_vectorT,1.6127876780566322e-05,1.612787678056629e-05,-3.3881317890172014e-20,3.3881317890172014e-20
chr1,openspliceai_style_vectorT,1.134768278125902e-05,1.1347682781259023e-05,3.3881317890172014e-21,3.3881317890172014e-21
chr1,uncalibrated,0.0015741791602029,0.0015741791602030654,1.6544925152128798e-16,1.6544925152128798e-16
chr1,unweighted_vectorT,4.523819045845961e-05,4.523819045845951e-05,-9.486769009248164e-20,9.486769009248164e-20
chr3,fixed_global_T1p1,0.0023968363831642,0.002396836383164253,5.334274688628682e-17,5.334274688628682e-17
chr3,genome_weighted_vectorT,2.0962953038790444e-05,2.0962953038790447e-05,3.3881317890172014e-21,3.3881317890172014e-21
chr3,openspliceai_style_vectorT,3.4103190072607733e-06,3.410319007038796e-06,-2.219772658057246e-16,2.219772658057246e-16
chr3,uncalibrated,0.0014280899237559,0.0014280899237559478,4.7921736023859296e-17,4.7921736023859296e-17
chr3,unweighted_vectorT,4.1118686514867207e-05,4.111868651497806e-05,1.108528958730648e-16,1.108528958730648e-16
chr5,fixed_global_T1p1,0.0024254422364246,0.00242544223642452,-7.979727989493313e-17,7.979727989493313e-17
chr5,genome_weighted_vectorT,2.1191753061304895e-05,2.1191753061304932e-05,3.7269449679189215e-20,3.7269449679189215e-20
chr5,openspliceai_style_vectorT,5.711944018904174e-06,5.711944018904164e-06,-1.0164395367051604e-20,1.0164395367051604e-20
chr5,uncalibrated,0.0014472512263092,0.0014472512263092486,4.85722573273506e-17,4.85722573273506e-17
chr5,unweighted_vectorT,6.062506806626224e-05,6.062506806615158e-05,-1.106563842293018e-16,1.106563842293018e-16
chr7,fixed_global_T1p1,0.0025178139274895,0.0025178139274894375,-6.245004513516506e-17,6.245004513516506e-17
chr7,genome_weighted_vectorT,2.5017278767058947e-05,2.5017278766947976e-05,-1.109714804856804e-16,1.109714804856804e-16
chr7,openspliceai_style_vectorT,1.6196042379104685e-06,1.619604237799465e-06,-1.1100345597943925e-16,1.1100345597943925e-16
chr7,uncalibrated,0.0015074603571232,0.0015074603571232153,1.5395670849294163e-17,1.5395670849294163e-17
chr7,unweighted_vectorT,4.62847039836606e-05,4.628470398354985e-05,-1.1074447565581624e-16,1.1074447565581624e-16
chr9,fixed_global_T1p1,0.0026402527546651,0.002640252754665108,7.806255641895632e-18,7.806255641895632e-18
chr9,genome_weighted_vectorT,2.8429058661586024e-05,2.842905866169701e-05,1.1098503301283646e-16,1.1098503301283646e-16
chr9,openspliceai_style_vectorT,2.8389029878840893e-06,2.8389029878840775e-06,-1.1858461261560205e-20,1.1858461261560205e-20
chr9,uncalibrated,0.0015891260190655,0.0015891260190655002,2.168404344971009e-19,2.168404344971009e-19
chr9,unweighted_vectorT,4.5601504635557855e-05,4.560150463544712e-05,-1.1073769939223821e-16,1.1073769939223821e-16
