method,chrom,multiclass_ece,multiclass_nll,acceptor_ece,donor_ece,total_positions,nonsplice_count,acceptor_count,donor_count
uncalibrated,chr1,0.0015741791602029,0.0018027635957553,0.0007341682686244,0.0008428635983252,116030000,115992869,18558,18573
fixed_global_T1p1,chr1,0.0026260927055507,0.0028610311851752,0.001220231151579,0.001408672717008,116030000,115992869,18558,18573
unweighted_vectorT,chr1,4.523819045845961e-05,0.0020971163924639,0.0005585979465803,0.0005226494380759,116030000,115992869,18558,18573
genome_weighted_vectorT,chr1,1.6127876780566322e-05,0.0003001859131259,1.9653886393375918e-05,1.60021444653772e-05,116030000,115992869,18558,18573
openspliceai_style_vectorT,chr1,1.134768278125902e-05,0.0002902978534302,7.635292360914572e-06,7.716869829054342e-06,116030000,115992869,18558,18573
uncalibrated,chr3,0.0014280899237559,0.0015988599528635,0.0006800189891137,0.0007484204699906,94790000,94768348,10823,10829
fixed_global_T1p1,chr3,0.0023968363831642,0.0025741974667106,0.0011356111108769,0.0012613009726009,94790000,94768348,10823,10829
unweighted_vectorT,chr3,4.1118686514867207e-05,0.0019597797966723,0.0005395848482098,0.0004807208726101,94790000,94768348,10823,10829
genome_weighted_vectorT,chr3,2.0962953038790444e-05,0.0002265855424539,1.3653001013341032e-05,1.3267996208968937e-05,94790000,94768348,10823,10829
openspliceai_style_vectorT,chr3,3.4103190072607733e-06,0.0002179993701063,2.575097369718378e-06,2.6856305630490315e-06,94790000,94768348,10823,10829
uncalibrated,chr5,0.0014472512263092,0.0016253160349491,0.0006919754001538,0.0007557373729259,76480000,76463984,8005,8011
fixed_global_T1p1,chr5,0.0024254422364246,0.002610176195074,0.0011522488048411,0.0012734529040315,76480000,76463984,8005,8011
unweighted_vectorT,chr5,6.062506806626224e-05,0.0020911536078833,0.0005583213206413,0.0004972130336169,76480000,76463984,8005,8011
genome_weighted_vectorT,chr5,2.1191753061304895e-05,0.0002328076685646,1.194293383491566e-05,1.552670215259779e-05,76480000,76463984,8005,8011
openspliceai_style_vectorT,chr5,5.711944018904174e-06,0.0002299311624158,9.59134271339849e-06,1.0366074809912036e-05,76480000,76463984,8005,8011
uncalibrated,chr7,0.0015074603571232,0.0016800398341783,0.0007105165369943,0.0007968126957442,75960000,75943204,8395,8401
fixed_global_T1p1,chr7,0.0025178139274895,0.0026978509779963,0.0011819082265298,0.0013357040689792,75960000,75943204,8395,8401
unweighted_vectorT,chr7,4.62847039836606e-05,0.0020547630861043,0.0005592984263984,0.0005057424809566,75960000,75943204,8395,8401
genome_weighted_vectorT,chr7,2.5017278767058947e-05,0.0002291755162144,1.2646735261847076e-05,1.4419187997901972e-05,75960000,75943204,8395,8401
openspliceai_style_vectorT,chr7,1.6196042379104685e-06,0.0002214021157891,6.171030053623651e-06,4.287503614276368e-06,75960000,75943204,8395,8401
uncalibrated,chr9,0.0015891260190655,0.0017795826560125,0.0007457174059771,0.0008443370665858,52880000,52865507,7243,7250
fixed_global_T1p1,chr9,0.0026402527546651,0.0028387120741273,0.0012342069264044,0.0014068733470365,52880000,52865507,7243,7250
unweighted_vectorT,chr9,4.5601504635557855e-05,0.0021381763643085,0.0005784182903355,0.0005320064396176,52880000,52865507,7243,7250
genome_weighted_vectorT,chr9,2.8429058661586024e-05,0.000254055847642,1.665618419461087e-05,1.8175988193264103e-05,52880000,52865507,7243,7250
openspliceai_style_vectorT,chr9,2.8389029878840893e-06,0.0002433490946799,3.831089377054357e-06,3.857254330021332e-06,52880000,52865507,7243,7250
