method,chrom,total_positions_primary,multiclass_ece_primary,multiclass_nll_primary,total_positions_replication,multiclass_ece_replication,multiclass_nll_replication,ece_replication_minus_primary,nll_replication_minus_primary
uncalibrated,chr1,116030000,0.0015741791602029,0.0018027635957553,116030000,0.0016012396995482,0.0018150051397016,2.706053934529995e-05,1.224154394629997e-05
fixed_global_T1p1,chr1,116030000,0.0026260927055507,0.0028610311851752,116030000,0.0026762183067503,0.0028973281278484,5.012560119959991e-05,3.629694267320025e-05
unweighted_vectorT,chr1,116030000,4.523819045845961e-05,0.0020971163924639,116030000,4.422693355407176e-05,0.0019839411410844,-1.0112569043878465e-06,-0.00011317525137949976
genome_weighted_vectorT,chr1,116030000,1.6127876780566322e-05,0.0003001859131259,116030000,2.347018874911606e-05,0.0002849632470694,7.3423119685497364e-06,-1.5222666056500004e-05
openspliceai_style_vectorT,chr1,116030000,1.134768278125902e-05,0.0002902978534302,116030000,8.519732158024605e-06,0.0002739365969925,-2.8279506232344155e-06,-1.6361256437700015e-05
uncalibrated,chr3,94790000,0.0014280899237559,0.0015988599528635,94790000,0.0014749493163425,0.0016383335792779,4.685939258660017e-05,3.947362641440011e-05
fixed_global_T1p1,chr3,94790000,0.0023968363831642,0.0025741974667106,94790000,0.0024805752938068,0.0026513725687075,8.373891064260026e-05,7.717510199689971e-05
unweighted_vectorT,chr3,94790000,4.1118686514867207e-05,0.0019597797966723,94790000,4.564608136454439e-05,0.001895562398337,4.5273948496771845e-06,-6.421739833530017e-05
genome_weighted_vectorT,chr3,94790000,2.0962953038790444e-05,0.0002265855424539,94790000,2.574364198550784e-05,0.0002167174397329,4.7806889467173956e-06,-9.868102721000008e-06
openspliceai_style_vectorT,chr3,94790000,3.4103190072607733e-06,0.0002179993701063,94790000,3.0032600878029308e-06,0.0002071971928491,-4.070589194578425e-07,-1.080217725719999e-05
uncalibrated,chr5,76480000,0.0014472512263092,0.0016253160349491,76480000,0.0014853726066995,0.0016501608516909,3.8121380390300106e-05,2.4844816741800054e-05
fixed_global_T1p1,chr5,76480000,0.0024254422364246,0.002610176195074,76480000,0.0024941467225708,0.0026665503009747,6.870448614620028e-05,5.6374105900700196e-05
unweighted_vectorT,chr5,76480000,6.062506806626224e-05,0.0020911536078833,76480000,6.753124695574971e-05,0.0019999694534857,6.906178889487477e-06,-9.118415439759997e-05
genome_weighted_vectorT,chr5,76480000,2.119175306130489e-05,0.0002328076685646,76480000,2.789882290320424e-05,0.0002168740113084,6.707069841899349e-06,-1.5933657256199998e-05
openspliceai_style_vectorT,chr5,76480000,5.711944018904174e-06,0.0002299311624158,76480000,4.041121639223722e-06,0.0002102569474184,-1.6708223796804522e-06,-1.9674214997399998e-05
uncalibrated,chr7,75960000,0.0015074603571232,0.0016800398341783,75960000,0.0015492700401699,0.0017171360868982,4.1809683046700004e-05,3.7096252719900046e-05
fixed_global_T1p1,chr7,75960000,0.0025178139274895,0.0026978509779963,75960000,0.0025931178706038,0.0027691678518964,7.530394311429985e-05,7.131687390009994e-05
unweighted_vectorT,chr7,75960000,4.62847039836606e-05,0.0020547630861043,75960000,4.922448068603858e-05,0.001988765525364,2.939776702377985e-06,-6.599756074030004e-05
genome_weighted_vectorT,chr7,75960000,2.5017278767058947e-05,0.0002291755162144,75960000,3.085264268266722e-05,0.0002226851369352,5.835363915608271e-06,-6.490379279200007e-06
openspliceai_style_vectorT,chr7,75960000,1.6196042379104685e-06,0.0002214021157891,75960000,1.940328695265197e-06,0.000213427529013,3.2072445735472855e-07,-7.974586776100014e-06
uncalibrated,chr9,52880000,0.0015891260190655,0.0017795826560125,52880000,0.0016248830737171,0.0018077453706521,3.575705465160006e-05,2.816271463960008e-05
fixed_global_T1p1,chr9,52880000,0.0026402527546651,0.0028387120741273,52880000,0.0027053616412915,0.0028970752335368,6.510888662639982e-05,5.83631594095e-05
unweighted_vectorT,chr9,52880000,4.5601504635557855e-05,0.0021381763643085,52880000,5.01178075787964e-05,0.0020382118473584,4.5163029432385444e-06,-9.996451695010004e-05
genome_weighted_vectorT,chr9,52880000,2.8429058661586024e-05,0.000254055847642,52880000,3.3489757671028854e-05,0.0002441562775121,5.0606990094428295e-06,-9.899570129900004e-06
openspliceai_style_vectorT,chr9,52880000,2.8389029878840893e-06,0.0002433490946799,52880000,3.088105764243002e-06,0.0002310254375707,2.4920277635891284e-07,-1.2323657109200017e-05
